,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,UNOMINDA_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,689.6,688.4,1,689.6,688.4,closed,-1.2,-0.174
8,UNOMINDA_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,630.95,629.95,1,630.95,629.95,closed,-1.0,-0.1585
14,UNOMINDA_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,608.5,656.95,1,608.5,656.95,closed,48.45,7.9622
38,UNOMINDA_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,726.15,724.7,1,726.15,724.7,closed,-1.45,-0.1997
47,UNOMINDA_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,724.6,730.0,1,724.6,730.0,closed,5.4,0.7452
48,UNOMINDA_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,730.75,738.8,1,730.75,738.8,closed,8.05,1.1016
49,UNOMINDA_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,738.2,731.55,1,738.2,731.55,closed,-6.65,-0.9008
51,UNOMINDA_minute,long,2024-05-07 15:26:00,2024-05-08 15:29:00,725.35,719.55,1,725.35,719.55,closed,-5.8,-0.7996
55,UNOMINDA_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,734.0,729.15,1,734.0,729.15,closed,-4.85,-0.6608
66,UNOMINDA_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,841.1,820.0,1,841.1,820.0,closed,-21.1,-2.5086
70,UNOMINDA_minute,long,2024-06-04 15:26:00,2024-06-05 15:29:00,845.95,868.1,1,845.95,868.1,closed,22.15,2.6184
73,UNOMINDA_minute,long,2024-06-05 15:26:00,2024-06-06 09:15:00,863.9,900.0,1,863.9,900.0,closed,36.1,4.1787
80,UNOMINDA_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,998.75,1049.25,1,998.75,1049.25,closed,50.5,5.0563
81,UNOMINDA_minute,long,2024-06-14 15:26:00,2024-06-18 15:29:00,1050.0,1072.5,1,1050.0,1072.5,closed,22.5,2.1429
102,UNOMINDA_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,1060.1,1041.7,1,1060.1,1041.7,closed,-18.4,-1.7357
138,UNOMINDA_minute,long,2024-09-13 15:26:00,2024-09-16 09:19:00,1060.4,1053.5,1,1060.4,1053.5,closed,-6.9,-0.6507
142,UNOMINDA_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,1067.35,1059.05,1,1067.35,1059.05,closed,-8.3,-0.7776
143,UNOMINDA_minute,long,2024-09-17 15:26:00,2024-09-18 15:29:00,1053.35,1030.4,1,1053.35,1030.4,closed,-22.95,-2.1788
169,UNOMINDA_minute,long,2024-10-17 15:26:00,2024-10-18 09:19:00,959.75,943.0,1,959.75,943.0,closed,-16.75,-1.7447
180,UNOMINDA_minute,long,2024-10-30 15:26:00,2024-10-31 15:29:00,975.9,984.0,1,975.9,984.0,closed,8.1,0.83
185,UNOMINDA_minute,long,2024-11-11 15:26:00,2024-11-12 09:15:00,922.95,929.0,1,922.95,929.0,closed,6.05,0.6555
189,UNOMINDA_minute,long,2024-11-14 15:26:00,2024-11-18 09:18:00,999.0,994.7,1,999.0,994.7,closed,-4.3,-0.4304
190,UNOMINDA_minute,long,2024-11-18 15:26:00,2024-11-19 15:29:00,1004.6,1037.25,1,1004.6,1037.25,closed,32.65,3.25
197,UNOMINDA_minute,long,2024-11-25 15:26:00,2024-11-26 09:15:00,1079.25,1060.0,1,1079.25,1060.0,closed,-19.25,-1.7836
211,UNOMINDA_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,1075.9,1076.05,1,1075.9,1076.05,closed,0.15,0.0139
219,UNOMINDA_minute,long,2024-12-23 15:26:00,2024-12-24 15:29:00,1020.05,1054.5,1,1020.05,1054.5,closed,34.45,3.3773
