,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
2,GRSE_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,906.0,906.95,1,906.0,906.95,closed,0.95,0.1049
4,GRSE_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,921.7,891.75,1,921.7,891.75,closed,-29.95,-3.2494
13,GRSE_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,783.95,795.05,1,783.95,795.05,closed,11.1,1.4159
14,GRSE_minute,long,2024-02-13 15:26:00,2024-02-14 15:29:00,796.3,810.5,1,796.3,810.5,closed,14.2,1.7832
18,GRSE_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,826.95,807.1,1,826.95,807.1,closed,-19.85,-2.4004
41,GRSE_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,763.95,764.0,1,763.95,764.0,closed,0.05,0.0065
42,GRSE_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,751.7,764.85,1,751.7,764.85,closed,13.15,1.7494
60,GRSE_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,901.85,879.95,1,901.85,879.95,closed,-21.9,-2.4283
65,GRSE_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,866.95,964.5,1,866.95,964.5,closed,97.55,11.2521
67,GRSE_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,968.35,982.3,1,968.35,982.3,closed,13.95,1.4406
73,GRSE_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,1005.0,986.0,1,1005.0,986.0,closed,-19.0,-1.8905
77,GRSE_minute,long,2024-05-07 15:26:00,2024-05-08 15:29:00,912.8,929.7,1,912.8,929.7,closed,16.9,1.8514
109,GRSE_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,1757.9,1943.0,1,1757.9,1943.0,closed,185.1,10.5296
128,GRSE_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,2502.0,2573.4,1,2502.0,2573.4,closed,71.4,2.8537
134,GRSE_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,2578.1,2441.5,1,2578.1,2441.5,closed,-136.6,-5.2985
142,GRSE_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,2329.1,2216.1,1,2329.1,2216.1,closed,-113.0,-4.8517
156,GRSE_minute,long,2024-08-26 15:26:00,2024-08-27 15:29:00,1789.5,1779.9,1,1789.5,1779.9,closed,-9.6,-0.5365
161,GRSE_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,1768.4,1808.55,1,1768.4,1808.55,closed,40.15,2.2704
167,GRSE_minute,long,2024-09-04 15:26:00,2024-09-05 15:29:00,1962.0,1899.95,1,1962.0,1899.95,closed,-62.05,-3.1626
168,GRSE_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,1902.2,1829.2,1,1902.2,1829.2,closed,-73.0,-3.8377
169,GRSE_minute,long,2024-09-06 15:26:00,2024-09-09 15:29:00,1830.05,1786.0,1,1830.05,1786.0,closed,-44.05,-2.407
170,GRSE_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,1789.0,1787.0,1,1789.0,1787.0,closed,-2.0,-0.1118
174,GRSE_minute,long,2024-09-10 15:26:00,2024-09-11 15:29:00,1788.0,1757.0,1,1788.0,1757.0,closed,-31.0,-1.7338
182,GRSE_minute,long,2024-09-17 15:26:00,2024-09-18 15:29:00,1725.0,1709.4,1,1725.0,1709.4,closed,-15.6,-0.9043
188,GRSE_minute,long,2024-09-18 15:26:00,2024-09-19 15:29:00,1724.0,1701.0,1,1724.0,1701.0,closed,-23.0,-1.3341
198,GRSE_minute,long,2024-09-24 15:26:00,2024-09-25 15:29:00,1759.0,1718.05,1,1759.0,1718.05,closed,-40.95,-2.328
201,GRSE_minute,long,2024-09-26 15:26:00,2024-09-27 15:29:00,1710.0,1705.85,1,1710.0,1705.85,closed,-4.15,-0.2427
219,GRSE_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,1751.25,1695.0,1,1751.25,1695.0,closed,-56.25,-3.212
224,GRSE_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,1786.0,1742.95,1,1786.0,1742.95,closed,-43.05,-2.4104
229,GRSE_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,1805.0,1593.75,1,1805.0,1593.75,closed,-211.25,-11.7036
246,GRSE_minute,long,2024-11-07 15:26:00,2024-11-08 15:29:00,1578.55,1530.0,1,1578.55,1530.0,closed,-48.55,-3.0756
252,GRSE_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,1463.7,1395.9,1,1463.7,1395.9,closed,-67.8,-4.6321
256,GRSE_minute,long,2024-11-18 15:26:00,2024-11-19 15:29:00,1390.0,1404.0,1,1390.0,1404.0,closed,14.0,1.0072
260,GRSE_minute,long,2024-11-25 15:26:00,2024-11-26 15:29:00,1446.95,1548.7,1,1446.95,1548.7,closed,101.75,7.032
263,GRSE_minute,long,2024-11-26 15:26:00,2024-11-27 15:29:00,1544.95,1697.95,1,1544.95,1697.95,closed,153.0,9.9032
264,GRSE_minute,long,2024-11-27 15:26:00,2024-11-28 15:29:00,1687.0,1720.05,1,1687.0,1720.05,closed,33.05,1.9591
270,GRSE_minute,long,2024-12-02 15:26:00,2024-12-03 15:29:00,1659.05,1702.9,1,1659.05,1702.9,closed,43.85,2.6431
273,GRSE_minute,long,2024-12-03 15:26:00,2024-12-04 15:29:00,1703.0,1782.7,1,1703.0,1782.7,closed,79.7,4.68
276,GRSE_minute,long,2024-12-04 15:26:00,2024-12-05 15:29:00,1782.7,1759.0,1,1782.7,1759.0,closed,-23.7,-1.3294
