,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
10,HSCL_minute,long,2024-02-06 15:26:00,2024-02-07 15:29:00,374.75,379.5,1,374.75,379.5,closed,4.75,1.2675
22,HSCL_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,368.0,363.25,1,368.0,363.25,closed,-4.75,-1.2908
25,HSCL_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,373.25,364.25,1,373.25,364.25,closed,-9.0,-2.4113
49,HSCL_minute,long,2024-04-05 15:26:00,2024-04-08 15:29:00,338.0,329.8,1,338.0,329.8,closed,-8.2,-2.426
51,HSCL_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,319.5,308.0,1,319.5,308.0,closed,-11.5,-3.5994
61,HSCL_minute,long,2024-05-07 15:26:00,2024-05-08 09:18:00,369.0,357.93,1,369.0,357.93,closed,-11.07,-3.0
79,HSCL_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,342.75,359.35,1,342.75,359.35,closed,16.6,4.8432
84,HSCL_minute,long,2024-06-21 15:26:00,2024-06-24 09:15:00,394.05,382.23,1,394.05,382.23,closed,-11.82,-3.0
96,HSCL_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,403.35,422.6,1,403.35,422.6,closed,19.25,4.7725
110,HSCL_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,467.0,462.8,1,467.0,462.8,closed,-4.2,-0.8994
114,HSCL_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,484.0,484.9,1,484.0,484.9,closed,0.9,0.186
131,HSCL_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,593.0,641.45,1,593.0,641.45,closed,48.45,8.1703
149,HSCL_minute,long,2024-10-23 15:26:00,2024-10-24 15:29:00,570.65,575.2,1,570.65,575.2,closed,4.55,0.7973
162,HSCL_minute,long,2024-11-19 15:26:00,2024-11-21 15:29:00,492.95,482.2,1,492.95,482.2,closed,-10.75,-2.1807
170,HSCL_minute,long,2024-12-06 15:26:00,2024-12-09 15:29:00,571.4,565.5,1,571.4,565.5,closed,-5.9,-1.0326
172,HSCL_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,566.0,567.6,1,566.0,567.6,closed,1.6,0.2827
