,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
17,JSWSTEEL_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,822.5,809.15,1,822.5,809.15,closed,-13.35,-1.6231
20,JSWSTEEL_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,809.1,817.15,1,809.1,817.15,closed,8.05,0.9949
33,JSWSTEEL_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,822.35,812.55,1,822.35,812.55,closed,-9.8,-1.1917
51,JSWSTEEL_minute,long,2024-04-05 15:26:00,2024-04-08 15:29:00,858.3,875.8,1,858.3,875.8,closed,17.5,2.0389
71,JSWSTEEL_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,861.45,880.7,1,861.45,880.7,closed,19.25,2.2346
89,JSWSTEEL_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,929.8,933.45,1,929.8,933.45,closed,3.65,0.3926
104,JSWSTEEL_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,942.9,934.3,1,942.9,934.3,closed,-8.6,-0.9121
115,JSWSTEEL_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,934.65,931.55,1,934.65,931.55,closed,-3.1,-0.3317
153,JSWSTEEL_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,983.0,987.65,1,983.0,987.65,closed,4.65,0.473
179,JSWSTEEL_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,981.5,967.4,1,981.5,967.4,closed,-14.1,-1.4366
195,JSWSTEEL_minute,long,2024-11-13 15:26:00,2024-11-14 15:29:00,938.35,938.85,1,938.35,938.85,closed,0.5,0.0533
201,JSWSTEEL_minute,long,2024-11-22 15:26:00,2024-11-25 15:29:00,976.1,953.0,1,976.1,953.0,closed,-23.1,-2.3666
219,JSWSTEEL_minute,long,2024-12-16 15:26:00,2024-12-17 15:29:00,992.6,963.8,1,992.6,963.8,closed,-28.8,-2.9015
223,JSWSTEEL_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,924.95,937.0,1,924.95,937.0,closed,12.05,1.3028
233,JSWSTEEL_minute,long,2024-12-30 15:26:00,,898.65,0.0,1,898.65,0.0,open,0.0,0.0
