,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
12,KPIL_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,849.1,875.5,1,849.1,875.5,closed,26.4,3.1092
16,KPIL_minute,long,2024-02-13 15:26:00,2024-02-14 15:29:00,908.7,985.5,1,908.7,985.5,closed,76.8,8.4516
19,KPIL_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,965.85,952.4,1,965.85,952.4,closed,-13.45,-1.3926
35,KPIL_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,1004.45,990.0,1,1004.45,990.0,closed,-14.45,-1.4386
37,KPIL_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,1061.9,995.0,1,1061.9,995.0,closed,-66.9,-6.3
40,KPIL_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,1008.85,1085.0,1,1008.85,1085.0,closed,76.15,7.5482
49,KPIL_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,1115.15,1121.9,1,1115.15,1121.9,closed,6.75,0.6053
54,KPIL_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,1170.0,1116.65,1,1170.0,1116.65,closed,-53.35,-4.5598
57,KPIL_minute,long,2024-04-15 15:26:00,2024-04-16 15:29:00,1161.05,1160.0,1,1161.05,1160.0,closed,-1.05,-0.0904
77,KPIL_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,1169.8,1158.95,1,1169.8,1158.95,closed,-10.85,-0.9275
105,KPIL_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,1150.1,1152.9,1,1150.1,1152.9,closed,2.8,0.2435
118,KPIL_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,1397.85,1358.5,1,1397.85,1358.5,closed,-39.35,-2.815
121,KPIL_minute,long,2024-07-12 15:26:00,2024-07-15 15:29:00,1352.1,1331.9,1,1352.1,1331.9,closed,-20.2,-1.494
127,KPIL_minute,long,2024-07-19 15:26:00,2024-07-22 15:29:00,1344.0,1316.0,1,1344.0,1316.0,closed,-28.0,-2.0833
128,KPIL_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,1319.9,1283.75,1,1319.9,1283.75,closed,-36.15,-2.7388
134,KPIL_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,1370.3,1360.0,1,1370.3,1360.0,closed,-10.3,-0.7517
138,KPIL_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,1355.75,1271.05,1,1355.75,1271.05,closed,-84.7,-6.2475
155,KPIL_minute,long,2024-08-27 15:26:00,2024-08-28 15:29:00,1335.2,1336.0,1,1335.2,1336.0,closed,0.8,0.0599
161,KPIL_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,1354.45,1386.5,1,1354.45,1386.5,closed,32.05,2.3663
165,KPIL_minute,long,2024-09-02 15:26:00,2024-09-03 15:29:00,1386.05,1388.0,1,1386.05,1388.0,closed,1.95,0.1407
176,KPIL_minute,long,2024-09-13 15:26:00,2024-09-16 15:29:00,1384.95,1386.0,1,1384.95,1386.0,closed,1.05,0.0758
180,KPIL_minute,long,2024-09-18 15:26:00,2024-09-19 15:29:00,1375.55,1374.85,1,1375.55,1374.85,closed,-0.7,-0.0509
183,KPIL_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,1340.8,1324.0,1,1340.8,1324.0,closed,-16.8,-1.253
191,KPIL_minute,long,2024-10-04 15:26:00,2024-10-07 15:29:00,1348.85,1296.05,1,1348.85,1296.05,closed,-52.8,-3.9144
209,KPIL_minute,long,2024-10-17 15:26:00,2024-10-18 15:29:00,1300.0,1293.0,1,1300.0,1293.0,closed,-7.0,-0.5385
220,KPIL_minute,long,2024-11-13 15:26:00,2024-11-14 15:29:00,1186.65,1195.25,1,1186.65,1195.25,closed,8.6,0.7247
223,KPIL_minute,long,2024-11-26 15:26:00,2024-11-27 15:29:00,1134.95,1155.1,1,1134.95,1155.1,closed,20.15,1.7754
235,KPIL_minute,long,2024-12-09 15:26:00,2024-12-10 15:29:00,1282.95,1284.85,1,1282.95,1284.85,closed,1.9,0.1481
238,KPIL_minute,long,2024-12-12 15:26:00,2024-12-13 15:29:00,1282.45,1305.5,1,1282.45,1305.5,closed,23.05,1.7973
239,KPIL_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,1308.6,1324.45,1,1308.6,1324.45,closed,15.85,1.2112
