,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,USHAMART_minute,long,2024-01-24 15:26:00,2024-01-25 15:29:00,357.7,353.75,1,357.7,353.75,closed,-3.95,-1.1043
1,USHAMART_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,353.45,352.15,1,353.45,352.15,closed,-1.3,-0.3678
3,USHAMART_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,359.4,358.0,1,359.4,358.0,closed,-1.4,-0.3895
13,USHAMART_minute,long,2024-02-09 15:26:00,2024-02-12 15:29:00,333.0,320.0,1,333.0,320.0,closed,-13.0,-3.9039
19,USHAMART_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,319.45,315.45,1,319.45,315.45,closed,-4.0,-1.2522
25,USHAMART_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,321.25,322.1,1,321.25,322.1,closed,0.85,0.2646
26,USHAMART_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,322.6,315.0,1,322.6,315.0,closed,-7.6,-2.3559
36,USHAMART_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,308.0,306.0,1,308.0,306.0,closed,-2.0,-0.6494
37,USHAMART_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,289.75,283.65,1,289.75,283.65,closed,-6.1,-2.1053
39,USHAMART_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,285.0,283.1,1,285.0,283.1,closed,-1.9,-0.6667
49,USHAMART_minute,long,2024-04-01 15:26:00,2024-04-02 15:29:00,334.65,346.3,1,334.65,346.3,closed,11.65,3.4812
53,USHAMART_minute,long,2024-04-05 15:26:00,2024-04-08 15:29:00,335.55,342.0,1,335.55,342.0,closed,6.45,1.9222
54,USHAMART_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,341.65,339.6,1,341.65,339.6,closed,-2.05,-0.6
57,USHAMART_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,339.3,344.5,1,339.3,344.5,closed,5.2,1.5326
65,USHAMART_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,361.0,361.0,1,361.0,361.0,closed,0.0,0.0
67,USHAMART_minute,long,2024-04-26 15:26:00,2024-04-29 09:15:00,369.8,356.5,1,369.8,356.5,closed,-13.3,-3.5965
72,USHAMART_minute,long,2024-05-06 15:26:00,2024-05-07 15:29:00,365.35,362.45,1,365.35,362.45,closed,-2.9,-0.7938
81,USHAMART_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,335.65,335.0,1,335.65,335.0,closed,-0.65,-0.1937
83,USHAMART_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,335.35,351.4,1,335.35,351.4,closed,16.05,4.786
85,USHAMART_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,343.75,352.5,1,343.75,352.5,closed,8.75,2.5455
90,USHAMART_minute,long,2024-05-24 15:26:00,2024-05-27 15:29:00,356.0,353.05,1,356.0,353.05,closed,-2.95,-0.8287
93,USHAMART_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,351.95,355.25,1,351.95,355.25,closed,3.3,0.9376
94,USHAMART_minute,long,2024-05-29 15:26:00,2024-05-30 15:29:00,362.75,358.05,1,362.75,358.05,closed,-4.7,-1.2957
96,USHAMART_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,357.65,363.8,1,357.65,363.8,closed,6.15,1.7196
106,USHAMART_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,397.0,403.55,1,397.0,403.55,closed,6.55,1.6499
118,USHAMART_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,403.8,401.5,1,403.8,401.5,closed,-2.3,-0.5696
122,USHAMART_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,410.0,411.7,1,410.0,411.7,closed,1.7,0.4146
128,USHAMART_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,390.05,384.0,1,390.05,384.0,closed,-6.05,-1.5511
136,USHAMART_minute,long,2024-07-24 15:26:00,2024-07-25 15:29:00,362.15,365.0,1,362.15,365.0,closed,2.85,0.787
138,USHAMART_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,363.0,372.2,1,363.0,372.2,closed,9.2,2.5344
141,USHAMART_minute,long,2024-07-29 15:26:00,2024-07-30 15:29:00,372.0,376.8,1,372.0,376.8,closed,4.8,1.2903
145,USHAMART_minute,long,2024-08-02 15:26:00,2024-08-05 09:16:00,370.05,358.95,1,370.05,358.95,closed,-11.1,-3.0
159,USHAMART_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,319.9,337.25,1,319.9,337.25,closed,17.35,5.4236
183,USHAMART_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,364.5,366.8,1,364.5,366.8,closed,2.3,0.631
186,USHAMART_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,358.4,358.5,1,358.4,358.5,closed,0.1,0.0279
190,USHAMART_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,355.45,356.0,1,355.45,356.0,closed,0.55,0.1547
206,USHAMART_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,351.5,352.5,1,351.5,352.5,closed,1.0,0.2845
209,USHAMART_minute,long,2024-09-24 15:26:00,2024-09-25 15:29:00,351.3,355.65,1,351.3,355.65,closed,4.35,1.2383
214,USHAMART_minute,long,2024-09-30 15:26:00,2024-10-01 15:29:00,358.4,368.0,1,358.4,368.0,closed,9.6,2.6786
218,USHAMART_minute,long,2024-10-01 15:26:00,2024-10-03 15:29:00,367.6,356.05,1,367.6,356.05,closed,-11.55,-3.142
221,USHAMART_minute,long,2024-10-07 15:26:00,2024-10-08 15:29:00,340.4,344.65,1,340.4,344.65,closed,4.25,1.2485
255,USHAMART_minute,long,2024-11-11 15:26:00,2024-11-12 15:29:00,393.0,383.85,1,393.0,383.85,closed,-9.15,-2.3282
263,USHAMART_minute,long,2024-11-21 15:26:00,2024-11-22 15:29:00,394.8,391.0,1,394.8,391.0,closed,-3.8,-0.9625
282,USHAMART_minute,long,2024-12-12 15:26:00,2024-12-13 15:29:00,398.7,396.3,1,398.7,396.3,closed,-2.4,-0.602
299,USHAMART_minute,long,2024-12-26 15:26:00,2024-12-27 15:29:00,362.65,386.2,1,362.65,386.2,closed,23.55,6.4939
