,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
13,NATIONALUM_minute,long,2024-02-13 15:26:00,2024-02-14 15:29:00,139.42,151.76,1,139.42,151.76,closed,12.34,8.851
24,NATIONALUM_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,158.17,156.61,1,158.17,156.61,closed,-1.56,-0.9863
27,NATIONALUM_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,156.17,153.67,1,156.17,153.67,closed,-2.5,-1.6008
36,NATIONALUM_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,153.33,157.44,1,153.33,157.44,closed,4.11,2.6805
39,NATIONALUM_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,157.59,162.53,1,157.59,162.53,closed,4.94,3.1347
42,NATIONALUM_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,163.02,159.4,1,163.02,159.4,closed,-3.62,-2.2206
49,NATIONALUM_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,134.33,135.12,1,134.33,135.12,closed,0.79,0.5881
60,NATIONALUM_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,172.18,173.5,1,172.18,173.5,closed,1.32,0.7666
65,NATIONALUM_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,181.97,179.03,1,181.97,179.03,closed,-2.94,-1.6157
77,NATIONALUM_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,185.59,186.28,1,185.59,186.28,closed,0.69,0.3718
79,NATIONALUM_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,191.02,195.92,1,191.02,195.92,closed,4.9,2.5652
80,NATIONALUM_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,193.67,186.96,1,193.67,186.96,closed,-6.71,-3.4647
98,NATIONALUM_minute,long,2024-06-26 15:26:00,2024-06-27 15:29:00,183.14,181.69,1,183.14,181.69,closed,-1.45,-0.7917
103,NATIONALUM_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,190.84,194.79,1,190.84,194.79,closed,3.95,2.0698
106,NATIONALUM_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,194.92,192.7,1,194.92,192.7,closed,-2.22,-1.1389
117,NATIONALUM_minute,long,2024-07-24 15:26:00,2024-07-25 15:29:00,182.73,180.45,1,182.73,180.45,closed,-2.28,-1.2477
130,NATIONALUM_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,175.95,168.94,1,175.95,168.94,closed,-7.01,-3.9841
176,NATIONALUM_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,208.85,217.33,1,208.85,217.33,closed,8.48,4.0603
182,NATIONALUM_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,212.21,220.03,1,212.21,220.03,closed,7.82,3.685
187,NATIONALUM_minute,long,2024-10-22 15:26:00,2024-10-23 15:29:00,216.24,219.32,1,216.24,219.32,closed,3.08,1.4243
224,NATIONALUM_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,210.01,212.66,1,210.01,212.66,closed,2.65,1.2618
