,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
34,RHIM_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,565.7,540.6,1,565.7,540.6,closed,-25.1,-4.437
59,RHIM_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,635.2,650.0,1,635.2,650.0,closed,14.8,2.33
63,RHIM_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,631.25,626.0,1,631.25,626.0,closed,-5.25,-0.8317
65,RHIM_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,626.0,642.95,1,626.0,642.95,closed,16.95,2.7077
88,RHIM_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,637.05,635.0,1,637.05,635.0,closed,-2.05,-0.3218
91,RHIM_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,611.5,597.8,1,611.5,597.8,closed,-13.7,-2.2404
94,RHIM_minute,long,2024-07-18 15:26:00,2024-07-19 15:29:00,590.15,585.2,1,590.15,585.2,closed,-4.95,-0.8388
100,RHIM_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,608.25,603.05,1,608.25,603.05,closed,-5.2,-0.8549
104,RHIM_minute,long,2024-08-01 15:26:00,2024-08-02 15:29:00,600.75,600.95,1,600.75,600.95,closed,0.2,0.0333
105,RHIM_minute,long,2024-08-02 15:26:00,2024-08-05 15:29:00,598.75,583.9,1,598.75,583.9,closed,-14.85,-2.4802
116,RHIM_minute,long,2024-08-28 15:26:00,2024-08-29 15:29:00,621.1,608.0,1,621.1,608.0,closed,-13.1,-2.1092
156,RHIM_minute,long,2024-11-07 15:26:00,2024-11-08 09:15:00,594.45,564.73,1,594.45,564.73,closed,-29.72,-5.0
165,RHIM_minute,long,2024-11-27 15:26:00,2024-11-28 15:29:00,530.0,515.75,1,530.0,515.75,closed,-14.25,-2.6887
166,RHIM_minute,long,2024-11-28 15:26:00,2024-11-29 15:29:00,517.1,520.0,1,517.1,520.0,closed,2.9,0.5608
174,RHIM_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,558.0,551.75,1,558.0,551.75,closed,-6.25,-1.1201
