,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
20,CAMS_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,2911.5,2999.3,1,2911.5,2999.3,closed,87.8,3.0156
24,CAMS_minute,long,2024-04-12 15:26:00,2024-04-15 15:29:00,3115.5,3032.55,1,3115.5,3032.55,closed,-82.95,-2.6625
37,CAMS_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,3487.2,3479.55,1,3487.2,3479.55,closed,-7.65,-0.2194
40,CAMS_minute,long,2024-06-03 15:26:00,2024-06-04 15:29:00,3545.0,3296.9,1,3545.0,3296.9,closed,-248.1,-6.9986
43,CAMS_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,3438.0,3626.9,1,3438.0,3626.9,closed,188.9,5.4945
47,CAMS_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,3523.2,3542.9,1,3523.2,3542.9,closed,19.7,0.5592
59,CAMS_minute,long,2024-07-16 15:26:00,2024-07-18 15:29:00,4243.55,4181.05,1,4243.55,4181.05,closed,-62.5,-1.4728
61,CAMS_minute,long,2024-07-18 15:26:00,2024-07-19 15:29:00,4167.15,4139.0,1,4167.15,4139.0,closed,-28.15,-0.6755
76,CAMS_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,4133.0,4172.6,1,4133.0,4172.6,closed,39.6,0.9581
83,CAMS_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,4418.25,4488.15,1,4418.25,4488.15,closed,69.9,1.5821
85,CAMS_minute,long,2024-08-22 15:26:00,2024-08-23 15:29:00,4398.65,4455.15,1,4398.65,4455.15,closed,56.5,1.2845
101,CAMS_minute,long,2024-09-10 15:26:00,2024-09-11 15:29:00,4256.35,4367.3,1,4256.35,4367.3,closed,110.95,2.6067
102,CAMS_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,4368.5,4408.0,1,4368.5,4408.0,closed,39.5,0.9042
104,CAMS_minute,long,2024-09-13 15:26:00,2024-09-16 15:29:00,4407.0,4519.8,1,4407.0,4519.8,closed,112.8,2.5596
106,CAMS_minute,long,2024-09-18 15:26:00,2024-09-19 15:29:00,4522.65,4467.0,1,4522.65,4467.0,closed,-55.65,-1.2305
111,CAMS_minute,long,2024-09-23 15:26:00,2024-09-24 15:29:00,4610.25,4531.1,1,4610.25,4531.1,closed,-79.15,-1.7168
112,CAMS_minute,long,2024-09-24 15:26:00,2024-09-25 15:29:00,4537.35,4417.0,1,4537.35,4417.0,closed,-120.35,-2.6524
116,CAMS_minute,long,2024-09-27 15:26:00,2024-09-30 15:29:00,4476.3,4405.0,1,4476.3,4405.0,closed,-71.3,-1.5928
117,CAMS_minute,long,2024-10-01 15:26:00,2024-10-03 15:29:00,4587.6,4418.15,1,4587.6,4418.15,closed,-169.45,-3.6937
120,CAMS_minute,long,2024-10-07 15:26:00,2024-10-08 15:29:00,4107.05,4433.45,1,4107.05,4433.45,closed,326.4,7.9473
122,CAMS_minute,long,2024-10-08 15:26:00,2024-10-09 15:29:00,4430.0,4409.0,1,4430.0,4409.0,closed,-21.0,-0.474
126,CAMS_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,4492.7,4495.0,1,4492.7,4495.0,closed,2.3,0.0512
129,CAMS_minute,long,2024-10-16 15:26:00,2024-10-17 15:29:00,4841.0,4811.5,1,4841.0,4811.5,closed,-29.5,-0.6094
132,CAMS_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,4643.0,4400.0,1,4643.0,4400.0,closed,-243.0,-5.2337
151,CAMS_minute,long,2024-11-25 15:26:00,2024-11-26 15:29:00,4559.9,4744.65,1,4559.9,4744.65,closed,184.75,4.0516
155,CAMS_minute,long,2024-12-04 15:26:00,2024-12-05 15:29:00,5193.7,5255.4,1,5193.7,5255.4,closed,61.7,1.188
158,CAMS_minute,long,2024-12-11 15:26:00,2024-12-12 15:29:00,5228.1,5287.9,1,5228.1,5287.9,closed,59.8,1.1438
160,CAMS_minute,long,2024-12-12 15:26:00,2024-12-13 15:29:00,5278.05,5183.7,1,5278.05,5183.7,closed,-94.35,-1.7876
165,CAMS_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,4927.35,4977.45,1,4927.35,4977.45,closed,50.1,1.0168
168,CAMS_minute,long,2024-12-26 15:26:00,2024-12-27 15:29:00,4968.1,5036.0,1,4968.1,5036.0,closed,67.9,1.3667
171,CAMS_minute,long,2024-12-30 15:26:00,,5098.25,0.0,1,5098.25,0.0,open,0.0,0.0
