,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
7,KFINTECH_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,626.05,628.0,1,626.05,628.0,closed,1.95,0.3115
13,KFINTECH_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,660.9,619.95,1,660.9,619.95,closed,-40.95,-6.1961
23,KFINTECH_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,705.2,728.5,1,705.2,728.5,closed,23.3,3.304
25,KFINTECH_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,677.45,701.25,1,677.45,701.25,closed,23.8,3.5132
30,KFINTECH_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,675.0,680.0,1,675.0,680.0,closed,5.0,0.7407
35,KFINTECH_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,651.55,628.0,1,651.55,628.0,closed,-23.55,-3.6145
65,KFINTECH_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,661.75,694.95,1,661.75,694.95,closed,33.2,5.017
66,KFINTECH_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,704.6,750.0,1,704.6,750.0,closed,45.4,6.4434
81,KFINTECH_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,759.95,739.2,1,759.95,739.2,closed,-20.75,-2.7304
83,KFINTECH_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,739.7,751.75,1,739.7,751.75,closed,12.05,1.629
85,KFINTECH_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,758.2,759.0,1,758.2,759.0,closed,0.8,0.1055
105,KFINTECH_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,700.05,700.05,1,700.05,700.05,closed,0.0,0.0
124,KFINTECH_minute,long,2024-08-01 15:26:00,2024-08-02 15:29:00,885.75,859.2,1,885.75,859.2,closed,-26.55,-2.9975
126,KFINTECH_minute,long,2024-08-06 15:26:00,2024-08-07 15:29:00,835.3,846.0,1,835.3,846.0,closed,10.7,1.281
140,KFINTECH_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,1042.7,1023.05,1,1042.7,1023.05,closed,-19.65,-1.8845
155,KFINTECH_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,1026.45,1017.0,1,1026.45,1017.0,closed,-9.45,-0.9206
159,KFINTECH_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,1066.0,1081.0,1,1066.0,1081.0,closed,15.0,1.4071
170,KFINTECH_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,1030.05,1030.0,1,1030.05,1030.0,closed,-0.05,-0.0049
181,KFINTECH_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,973.25,953.4,1,973.25,953.4,closed,-19.85,-2.0396
182,KFINTECH_minute,long,2024-10-30 15:26:00,2024-10-31 15:29:00,958.75,997.55,1,958.75,997.55,closed,38.8,4.0469
191,KFINTECH_minute,long,2024-11-11 15:26:00,2024-11-12 15:29:00,995.95,1020.1,1,995.95,1020.1,closed,24.15,2.4248
203,KFINTECH_minute,long,2024-11-27 15:26:00,2024-11-28 15:29:00,1145.0,1149.95,1,1145.0,1149.95,closed,4.95,0.4323
206,KFINTECH_minute,long,2024-11-29 15:26:00,2024-12-02 15:29:00,1166.6,1172.5,1,1166.6,1172.5,closed,5.9,0.5057
