,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
2,MASTEK_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,2854.85,2848.0,1,2854.85,2848.0,closed,-6.85,-0.2399
21,MASTEK_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,2955.45,2961.0,1,2955.45,2961.0,closed,5.55,0.1878
31,MASTEK_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,2639.9,2566.05,1,2639.9,2566.05,closed,-73.85,-2.7975
44,MASTEK_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,2620.0,2635.1,1,2620.0,2635.1,closed,15.1,0.5763
50,MASTEK_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,2588.45,2812.0,1,2588.45,2812.0,closed,223.55,8.6364
55,MASTEK_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,2774.25,2704.75,1,2774.25,2704.75,closed,-69.5,-2.5052
66,MASTEK_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,2428.75,2368.95,1,2428.75,2368.95,closed,-59.8,-2.4622
78,MASTEK_minute,long,2024-05-23 15:26:00,2024-05-24 15:29:00,2478.45,2472.05,1,2478.45,2472.05,closed,-6.4,-0.2582
84,MASTEK_minute,long,2024-06-06 15:26:00,2024-06-07 09:15:00,2588.0,2775.0,1,2588.0,2775.0,closed,187.0,7.2257
93,MASTEK_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,2682.85,2735.6,1,2682.85,2735.6,closed,52.75,1.9662
96,MASTEK_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,2707.8,2686.95,1,2707.8,2686.95,closed,-20.85,-0.77
100,MASTEK_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,2760.0,2805.85,1,2760.0,2805.85,closed,45.85,1.6612
102,MASTEK_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,2756.3,2740.0,1,2756.3,2740.0,closed,-16.3,-0.5914
108,MASTEK_minute,long,2024-07-10 15:26:00,2024-07-11 15:29:00,2800.9,2855.0,1,2800.9,2855.0,closed,54.1,1.9315
136,MASTEK_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,3007.0,2960.0,1,3007.0,2960.0,closed,-47.0,-1.563
175,MASTEK_minute,long,2024-09-30 15:26:00,2024-10-01 15:29:00,2591.95,2649.85,1,2591.95,2649.85,closed,57.9,2.2338
193,MASTEK_minute,long,2024-10-18 15:26:00,2024-10-21 15:29:00,3037.0,2869.95,1,3037.0,2869.95,closed,-167.05,-5.5005
194,MASTEK_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,2871.25,2739.75,1,2871.25,2739.75,closed,-131.5,-4.5799
215,MASTEK_minute,long,2024-11-14 15:26:00,2024-11-18 15:29:00,3048.95,3123.95,1,3048.95,3123.95,closed,75.0,2.4599
218,MASTEK_minute,long,2024-11-19 15:26:00,2024-11-21 15:29:00,3153.9,3184.85,1,3153.9,3184.85,closed,30.95,0.9813
232,MASTEK_minute,long,2024-12-16 15:26:00,2024-12-17 15:29:00,3247.2,3226.55,1,3247.2,3226.55,closed,-20.65,-0.6359
239,MASTEK_minute,long,2024-12-23 15:26:00,2024-12-24 15:29:00,2998.05,2965.9,1,2998.05,2965.9,closed,-32.15,-1.0724
