,stock,profitpct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
0,ABFRL,0.13,23,0.3,2.61,-0.96,0.13,1.2
1,AEGISLOG,0.88,42,0.52,2.73,-1.16,0.88,2.59
2,AJANTPHARM,-0.18,32,0.28,1.97,-1.02,-0.18,0.75
3,AXISBANK,0.08,26,0.38,2.05,-1.15,0.08,1.11
4,BAJFINANCE,-0.25,11,0.36,1.55,-1.28,-0.25,0.69
5,BALAMINES,-0.57,12,0.25,0.86,-1.04,-0.57,0.28
6,BHARTIARTL,-0.08,16,0.31,2.57,-1.28,-0.08,0.91
7,CERA,-0.68,20,0.25,0.8,-1.26,-0.74,0.23
8,CHOLAFIN,-0.11,24,0.33,1.91,-1.13,-0.11,0.85
9,CROMPTON,0.22,17,0.41,2.31,-1.24,0.22,1.31
10,DALBHARAT,1.26,15,0.47,3.72,-0.89,1.26,3.67
11,DEEPAKNTR,0.33,18,0.33,3.34,-1.17,0.33,1.43
12,FINEORG,-0.47,14,0.36,1.59,-1.61,-0.47,0.55
13,GLENMARK,0.07,20,0.4,1.18,-0.67,0.07,1.17
14,GRANULES,0.19,24,0.38,2.57,-1.23,0.19,1.25
15,HCLTECH,0.87,13,0.62,2.25,-1.35,0.87,2.67
16,HDFCBANK,0.78,16,0.44,3.45,-1.46,0.69,2.07
17,HINDCOPPER,0.04,41,0.39,2.2,-1.34,0.04,1.05
18,HINDUNILVR,0.61,6,0.33,3.21,-0.92,0.46,2.32
19,ICICIBANK,0.4,24,0.42,2.7,-1.24,0.4,1.56
20,INDIGO,0.78,21,0.48,3.41,-1.61,0.78,1.92
21,INFY,-0.08,8,0.5,1.32,-1.49,-0.08,0.89
22,ITC,0.91,9,0.56,2.33,-1.17,0.78,3.32
23,JUBLFOOD,0.14,25,0.36,2.8,-1.35,0.14,1.17
24,KEI,-0.29,30,0.33,1.49,-1.18,-0.29,0.63
25,KOTAKBANK,-0.13,11,0.36,1.97,-1.56,-0.27,0.84
26,KPITTECH,0.39,33,0.42,2.76,-1.43,0.34,1.5
27,LEMONTREE,0.36,31,0.45,1.98,-0.97,0.36,1.68
28,LT,0.0,13,0.46,1.84,-1.57,0.0,1.0
29,MARUTI,0.97,6,0.33,3.61,-0.35,0.97,5.21
30,MAZDOCK,0.02,35,0.34,2.75,-1.4,0.02,1.02
31,MUTHOOTFIN,0.15,14,0.5,1.4,-1.11,0.15,1.26
32,NTPC,0.9,23,0.57,2.54,-1.23,0.9,2.68
33,PAGEIND,0.75,9,0.44,2.52,-0.84,0.65,3.01
34,PERSISTENT,0.46,20,0.5,2.11,-1.19,0.46,1.76
35,POLYCAB,1.81,23,0.61,3.77,-1.4,1.75,4.71
36,RELIANCE,0.39,7,0.29,3.13,-0.7,0.39,1.79
37,RITES,0.1,19,0.42,1.82,-1.15,0.1,1.16
38,SBIN,0.71,18,0.44,3.4,-1.45,0.71,1.87
39,SRF,-0.38,13,0.31,1.06,-1.02,-0.38,0.47
40,SUNPHARMA,-0.91,18,0.22,0.58,-1.44,-0.99,0.12
41,TATAELXSI,-0.07,11,0.36,1.36,-0.88,-0.07,0.88
42,TATASTEEL,0.68,14,0.5,2.44,-1.07,0.68,2.28
43,TCS,-0.77,6,0.17,1.48,-1.53,-1.03,0.24
44,TEJASNET,-0.09,25,0.44,1.39,-1.24,-0.09,0.88
45,UBL,-0.32,19,0.32,2.04,-1.41,-0.32,0.67
46,ULTRACEMCO,0.52,6,0.5,2.35,-1.32,0.52,1.78
47,VOLTAS,1.32,30,0.57,3.22,-1.16,1.32,3.63
48,WIPRO,-0.08,21,0.38,1.43,-1.01,-0.08,0.87
49,ZYDUSLIFE,0.1,14,0.43,1.89,-1.24,0.1,1.14
