,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
13,BAJFINANCE,long,2024-01-24 15:21:00,2024-01-30T09:15:00.000000000,706.5,695.5,1,706.5,695.5,closed,-11.0,-1.557
72,BAJFINANCE,long,2024-02-22 15:21:00,2024-02-27T10:06:00.000000000,670.0,658.56,1,670.0,658.56,closed,-11.44,-1.7075
93,BAJFINANCE,long,2024-02-29 15:21:00,2024-03-05T12:36:00.000000000,650.5,650.72,1,650.5,650.72,closed,0.22,0.0338
174,BAJFINANCE,long,2024-03-28 15:21:00,2024-04-02T09:23:00.000000000,727.0,719.32,1,727.0,719.32,closed,-7.68,-1.0564
181,BAJFINANCE,long,2024-04-02 15:21:00,2024-04-05T09:15:00.000000000,722.0,720.3,1,722.0,720.3,closed,-1.7,-0.2355
240,BAJFINANCE,long,2024-04-23 15:21:00,2024-04-25T09:20:00.000000000,724.0,727.16,1,724.0,727.16,closed,3.16,0.4365
352,BAJFINANCE,long,2024-05-31 15:21:00,2024-06-04T09:15:00.000000000,669.5,685.02,1,669.5,685.02,closed,15.52,2.3181
372,BAJFINANCE,long,2024-06-03 15:21:00,2024-06-04T09:15:00.000000000,692.5,679.14,1,692.5,679.14,closed,-13.36,-1.9292
394,BAJFINANCE,long,2024-06-07 15:21:00,2024-06-10T14:22:00.000000000,720.0,710.5,1,720.0,710.5,closed,-9.5,-1.3194
466,BAJFINANCE,long,2024-07-03 15:21:00,2024-07-04T10:27:00.000000000,726.0,717.85,1,726.0,717.85,closed,-8.15,-1.1226
627,BAJFINANCE,long,2024-08-29 15:21:00,2024-09-03T09:31:00.000000000,707.0,731.08,1,707.0,731.08,closed,24.08,3.4059
