,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
159,CERA,long,2024-03-27 15:21:00,2024-03-28T12:04:00.000000000,6873.25,6801.0,1,6873.25,6801.0,closed,-72.25,-1.0511
190,CERA,long,2024-04-03 15:21:00,2024-04-04T09:29:00.000000000,7610.0,7525.71,1,7610.0,7525.71,closed,-84.29,-1.1076
244,CERA,long,2024-04-24 15:21:00,2024-05-02T10:43:00.000000000,7275.7,7154.0,1,7275.7,7154.0,closed,-121.7,-1.6727
406,CERA,long,2024-06-18 15:21:00,2024-06-19T09:30:00.000000000,8071.8,8022.28,1,8071.8,8022.28,closed,-49.52,-0.6135
415,CERA,long,2024-06-20 15:21:00,2024-06-21T09:15:00.000000000,8302.05,8300.0,1,8302.05,8300.0,closed,-2.05,-0.0247
421,CERA,long,2024-06-21 15:21:00,2024-06-21T15:28:00.000000000,9088.95,9104.3,1,9088.95,9104.3,closed,15.35,0.1689
427,CERA,long,2024-06-26 15:21:00,2024-06-27T10:48:00.000000000,9004.95,9109.05,1,9004.95,9109.05,closed,104.1,1.156
436,CERA,long,2024-06-27 15:21:00,2024-06-28T10:59:00.000000000,8828.55,8812.06,1,8828.55,8812.06,closed,-16.49,-0.1868
458,CERA,long,2024-07-02 15:21:00,2024-07-03T09:45:00.000000000,9087.65,9090.33,1,9087.65,9090.33,closed,2.68,0.0295
500,CERA,long,2024-07-23 15:21:00,2024-07-25T09:15:00.000000000,9029.8,8812.0,1,9029.8,8812.0,closed,-217.8,-2.412
557,CERA,long,2024-08-08 15:21:00,2024-08-09T10:26:00.000000000,10388.2,10574.15,1,10388.2,10574.15,closed,185.95,1.79
583,CERA,long,2024-08-16 15:21:00,2024-08-19T09:19:00.000000000,10174.4,9996.0,1,10174.4,9996.0,closed,-178.4,-1.7534
610,CERA,long,2024-08-26 15:21:00,2024-08-28T09:33:00.000000000,9794.35,9643.2,1,9794.35,9643.2,closed,-151.15,-1.5432
643,CERA,long,2024-09-04 15:21:00,2024-09-05T09:15:00.000000000,9390.0,9100.0,1,9390.0,9100.0,closed,-290.0,-3.0884
728,CERA,long,2024-10-08 15:21:00,2024-10-11T15:17:00.000000000,7958.55,7878.22,1,7958.55,7878.22,closed,-80.33,-1.0094
805,CERA,long,2024-11-05 15:21:00,2024-11-08T09:16:00.000000000,7129.35,7117.94,1,7129.35,7117.94,closed,-11.41,-0.1601
818,CERA,long,2024-11-12 15:21:00,2024-11-13T09:25:00.000000000,7071.95,6948.2,1,7071.95,6948.2,closed,-123.75,-1.7499
888,CERA,long,2024-12-05 15:21:00,2024-12-10T09:28:00.000000000,7688.65,7753.66,1,7688.65,7753.66,closed,65.01,0.8456
928,CERA,long,2024-12-23 15:21:00,2024-12-26T12:20:00.000000000,7300.0,7208.93,1,7300.0,7208.93,closed,-91.07,-1.2475
945,CERA,long,2024-12-30 15:21:00,,7700.35,0.0,1,7700.35,0.0,open,0.0,0.0
