,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
16,HDFCBANK,long,2024-01-25 15:21:00,2024-02-02T13:25:00.000000000,1438.9,1451.23,1,1438.9,1451.23,closed,12.33,0.8571
113,HDFCBANK,long,2024-03-12 15:21:00,2024-03-18T09:40:00.000000000,1461.95,1442.17,1,1461.95,1442.17,closed,-19.78,-1.3531
128,HDFCBANK,long,2024-03-15 15:21:00,2024-03-20T10:46:00.000000000,1455.7,1428.1,1,1455.7,1428.1,closed,-27.6,-1.8957
164,HDFCBANK,long,2024-03-27 15:21:00,2024-04-05T09:15:00.000000000,1444.85,1539.0,1,1444.85,1539.0,closed,94.15,6.5162
307,HDFCBANK,long,2024-05-14 15:21:00,2024-05-15T13:48:00.000000000,1464.0,1436.14,1,1464.0,1436.14,closed,-27.86,-1.9029
353,HDFCBANK,long,2024-05-31 15:21:00,2024-06-03T09:15:00.000000000,1533.05,1567.02,1,1533.05,1567.02,closed,33.97,2.2158
538,HDFCBANK,long,2024-08-01 15:21:00,2024-08-05T09:15:00.000000000,1642.45,1637.09,1,1642.45,1637.09,closed,-5.36,-0.3263
629,HDFCBANK,long,2024-08-30 15:21:00,2024-09-20T12:07:00.000000000,1639.5,1737.87,1,1639.5,1737.87,closed,98.37,6.0
713,HDFCBANK,long,2024-09-30 15:21:00,2024-10-03T09:24:00.000000000,1735.3,1707.16,1,1735.3,1707.16,closed,-28.14,-1.6216
741,HDFCBANK,long,2024-10-09 15:21:00,2024-10-17T10:34:00.000000000,1637.3,1673.79,1,1637.3,1673.79,closed,36.49,2.2287
792,HDFCBANK,long,2024-10-25 15:21:00,2024-10-30T13:21:00.000000000,1746.95,1728.72,1,1746.95,1728.72,closed,-18.23,-1.0435
798,HDFCBANK,long,2024-10-30 15:21:00,2024-11-05T09:15:00.000000000,1737.95,1703.0,1,1737.95,1703.0,closed,-34.95,-2.011
819,HDFCBANK,long,2024-11-12 15:21:00,2024-11-13T14:27:00.000000000,1720.7,1694.81,1,1720.7,1694.81,closed,-25.89,-1.5045
827,HDFCBANK,long,2024-11-13 15:21:00,2024-11-25T15:21:00.000000000,1689.75,1791.14,1,1689.75,1791.14,closed,101.38,6.0
921,HDFCBANK,long,2024-12-20 15:21:00,2024-12-30T13:34:00.000000000,1773.35,1778.7,1,1773.35,1778.7,closed,5.35,0.3017
940,HDFCBANK,long,2024-12-30 15:21:00,,1780.65,0.0,1,1780.65,0.0,open,0.0,0.0
