,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
133,KEI,long,2024-03-26 15:21:00,2024-03-27T09:53:00.000000000,3466.0,3521.14,1,3466.0,3521.14,closed,55.14,1.5909
166,KEI,long,2024-04-04 15:21:00,2024-04-05T09:15:00.000000000,3585.95,3555.44,1,3585.95,3555.44,closed,-30.51,-0.8508
172,KEI,long,2024-04-12 15:21:00,2024-04-15T09:15:00.000000000,3999.7,3922.94,1,3999.7,3922.94,closed,-76.76,-1.9191
199,KEI,long,2024-04-23 15:21:00,2024-04-24T09:32:00.000000000,4043.2,4034.66,1,4043.2,4034.66,closed,-8.54,-0.2112
212,KEI,long,2024-04-26 15:21:00,2024-04-29T09:16:00.000000000,3904.4,3884.72,1,3904.4,3884.72,closed,-19.68,-0.504
268,KEI,long,2024-05-24 15:21:00,2024-05-27T09:20:00.000000000,4287.3,4213.9,1,4287.3,4213.9,closed,-73.4,-1.712
277,KEI,long,2024-05-29 15:21:00,2024-05-30T13:35:00.000000000,4220.35,4148.93,1,4220.35,4148.93,closed,-71.42,-1.6923
324,KEI,long,2024-06-10 15:21:00,2024-06-11T09:20:00.000000000,4578.85,4583.41,1,4578.85,4583.41,closed,4.56,0.0996
328,KEI,long,2024-06-12 15:21:00,2024-06-13T09:30:00.000000000,4655.3,4772.6,1,4655.3,4772.6,closed,117.3,2.5197
423,KEI,long,2024-07-25 15:21:00,2024-07-29T09:20:00.000000000,4239.8,4339.64,1,4239.8,4339.64,closed,99.84,2.3547
435,KEI,long,2024-07-29 15:21:00,2024-07-30T09:17:00.000000000,4324.35,4390.4,1,4324.35,4390.4,closed,66.05,1.5274
445,KEI,long,2024-08-01 15:21:00,2024-08-02T14:15:00.000000000,4342.05,4255.21,1,4342.05,4255.21,closed,-86.84,-2.0
454,KEI,long,2024-08-06 15:21:00,2024-08-07T09:22:00.000000000,4018.7,4008.2,1,4018.7,4008.2,closed,-10.5,-0.2613
459,KEI,long,2024-08-08 15:21:00,2024-08-12T09:15:00.000000000,4156.35,4167.94,1,4156.35,4167.94,closed,11.59,0.2789
467,KEI,long,2024-08-12 15:21:00,2024-08-14T09:18:00.000000000,4312.7,4281.67,1,4312.7,4281.67,closed,-31.03,-0.7195
474,KEI,long,2024-08-14 15:21:00,2024-08-16T15:09:00.000000000,4295.15,4297.3,1,4295.15,4297.3,closed,2.15,0.0501
507,KEI,long,2024-08-28 15:21:00,2024-09-02T11:00:00.000000000,4548.4,4554.55,1,4548.4,4554.55,closed,6.15,0.1352
556,KEI,long,2024-09-18 15:21:00,2024-09-19T10:12:00.000000000,4514.45,4468.8,1,4514.45,4468.8,closed,-45.65,-1.0112
712,KEI,long,2024-11-28 15:21:00,2024-12-03T09:15:00.000000000,4305.05,4318.15,1,4305.05,4318.15,closed,13.1,0.3043
737,KEI,long,2024-12-06 15:21:00,2024-12-10T10:04:00.000000000,4502.95,4429.6,1,4502.95,4429.6,closed,-73.35,-1.6289
742,KEI,long,2024-12-10 15:21:00,2024-12-11T09:46:00.000000000,4574.8,4483.3,1,4574.8,4483.3,closed,-91.5,-2.0
746,KEI,long,2024-12-11 15:21:00,2024-12-12T09:15:00.000000000,4640.25,4611.88,1,4640.25,4611.88,closed,-28.37,-0.6114
