,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
64,KOTAKBANK,long,2024-02-27 15:21:00,2024-02-28T15:15:00.000000000,1708.8,1678.59,1,1708.8,1678.59,closed,-30.21,-1.7677
180,KOTAKBANK,long,2024-04-16 15:21:00,2024-04-19T09:15:00.000000000,1796.3,1764.0,1,1796.3,1764.0,closed,-32.3,-1.7981
276,KOTAKBANK,long,2024-05-29 15:21:00,2024-05-31T10:07:00.000000000,1695.4,1673.45,1,1695.4,1673.45,closed,-21.95,-1.2948
290,KOTAKBANK,long,2024-05-31 15:21:00,2024-06-03T09:41:00.000000000,1686.1,1704.07,1,1686.1,1704.07,closed,17.97,1.066
304,KOTAKBANK,long,2024-06-03 15:21:00,2024-06-04T09:22:00.000000000,1720.25,1690.5,1,1720.25,1690.5,closed,-29.75,-1.7294
356,KOTAKBANK,long,2024-06-27 15:21:00,2024-06-28T12:21:00.000000000,1835.1,1810.99,1,1835.1,1810.99,closed,-24.11,-1.3138
614,KOTAKBANK,long,2024-10-09 15:21:00,2024-10-14T11:03:00.000000000,1803.65,1911.87,1,1803.65,1911.87,closed,108.22,6.0
675,KOTAKBANK,long,2024-11-13 15:21:00,2024-11-21T09:18:00.000000000,1695.4,1705.0,1,1695.4,1705.0,closed,9.6,0.5665
720,KOTAKBANK,long,2024-11-29 15:21:00,2024-12-12T14:35:00.000000000,1766.35,1770.66,1,1766.35,1770.66,closed,4.31,0.2442
781,KOTAKBANK,long,2024-12-30 15:21:00,,1745.3,0.0,1,1745.3,0.0,open,0.0,0.0
