,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
13,WIPRO,long,2024-01-31 15:21:00,2024-02-01T09:15:00.000000000,234.65,232.4,1,234.65,232.4,closed,-2.25,-0.9578
37,WIPRO,long,2024-02-23 15:21:00,2024-02-26T09:15:00.000000000,263.1,260.67,1,263.1,260.67,closed,-2.43,-0.9247
46,WIPRO,long,2024-02-29 15:21:00,2024-03-01T10:12:00.000000000,254.8,254.92,1,254.8,254.92,closed,0.12,0.0491
175,WIPRO,long,2024-05-31 15:21:00,2024-06-03T09:15:00.000000000,215.45,218.69,1,215.45,218.69,closed,3.24,1.5043
294,WIPRO,long,2024-08-21 15:21:00,2024-08-22T10:54:00.000000000,258.35,257.55,1,258.35,257.55,closed,-0.8,-0.3102
371,WIPRO,long,2024-10-07 15:21:00,2024-10-08T09:17:00.000000000,260.7,259.08,1,260.7,259.08,closed,-1.62,-0.6203
380,WIPRO,long,2024-10-11 15:21:00,2024-10-14T09:15:00.000000000,259.75,264.1,1,259.75,264.1,closed,4.35,1.6747
402,WIPRO,long,2024-11-04 15:21:00,2024-11-06T09:15:00.000000000,265.6,268.35,1,265.6,268.35,closed,2.75,1.0354
419,WIPRO,long,2024-11-14 15:21:00,2024-11-18T09:15:00.000000000,278.45,275.96,1,278.45,275.96,closed,-2.49,-0.8933
422,WIPRO,long,2024-11-18 15:21:00,2024-11-19T14:57:00.000000000,271.5,276.56,1,271.5,276.56,closed,5.06,1.8624
440,WIPRO,long,2024-11-28 15:21:00,2024-12-02T10:12:00.000000000,280.8,283.64,1,280.8,283.64,closed,2.83,1.0096
453,WIPRO,long,2024-12-05 15:21:00,2024-12-06T09:20:00.000000000,294.1,291.31,1,294.1,291.31,closed,-2.79,-0.9495
459,WIPRO,long,2024-12-09 15:21:00,2024-12-10T09:15:00.000000000,298.15,300.05,1,298.15,300.05,closed,1.9,0.6373
