EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-01 15:26:00,long,5466.4,1,5466,closed,2024-01-09 09:40:00,5305.9,-160.5,-2.94
2024-01-02 15:26:00,short,5350.75,1,5351,closed,2024-01-02 15:29:00,5352.5,-1.75,-0.03
2024-01-03 15:26:00,long,5398.05,1,5398,closed,2024-01-09 09:40:00,5305.8,-92.25,-1.71
2024-01-04 15:26:00,long,5400.0,1,5400,closed,2024-01-09 09:40:00,5305.8,-94.2,-1.74
2024-01-05 15:26:00,short,5399.85,1,5400,closed,2024-01-05 15:29:00,5405.5,-5.65,-0.1
2024-01-08 15:26:00,long,5344.55,1,5345,closed,2024-01-09 09:50:00,5240.91,-103.64,-1.94
2024-01-10 15:26:00,long,4900.75,2,9802,closed,2024-01-11 09:15:00,4420.7,-960.1,-9.8
2024-01-11 15:26:00,long,3880.8,2,7762,closed,2024-01-12 09:15:00,3910.0,58.4,0.75
2024-01-12 15:26:00,long,3984.0,2,7968,closed,2024-01-18 09:42:00,4399.82,831.65,10.44
2024-01-16 15:26:00,long,4342.0,2,8684,closed,2024-01-18 09:42:00,4399.82,115.65,1.33
2024-01-17 15:26:00,long,4444.0,1,4444,closed,2024-01-18 09:42:00,4399.82,-44.18,-0.99
2024-01-18 15:26:00,long,4412.45,1,4412,closed,2024-01-19 09:27:00,4400.89,-11.56,-0.26
2024-01-19 15:26:00,long,4424.9,2,8850,closed,2024-01-23 09:57:00,4316.5,-216.8,-2.45
2024-01-20 15:26:00,short,4327.0,2,8654,closed,2024-01-20 15:29:00,4333.0,-12.0,-0.14
2024-01-23 15:26:00,short,4152.0,2,8304,closed,2024-01-23 15:29:00,4149.4,5.2,0.06
2024-01-24 15:26:00,long,4362.55,2,8725,closed,2024-01-25 15:20:00,4321.35,-82.4,-0.94
2024-01-25 15:26:00,short,4354.85,2,8710,closed,2024-01-25 15:29:00,4352.0,5.7,0.07
2024-01-29 15:26:00,short,4349.5,2,8699,closed,2024-01-29 15:29:00,4345.25,8.5,0.1
2024-01-30 15:26:00,long,4310.45,2,8621,closed,2024-02-01 15:26:00,4243.02,-134.85,-1.56
2024-01-31 15:26:00,short,4340.2,2,8680,closed,2024-01-31 15:29:00,4338.0,4.4,0.05
2024-02-01 15:26:00,short,4249.65,2,8499,closed,2024-02-01 15:29:00,4240.0,19.3,0.23
2024-02-02 15:26:00,short,4379.35,2,8759,closed,2024-02-02 15:29:00,4380.85,-3.0,-0.03
2024-02-05 15:26:00,short,4381.25,2,8762,closed,2024-02-05 15:29:00,4384.0,-5.5,-0.06
2024-02-06 15:26:00,long,4399.8,2,8800,closed,2024-02-09 09:19:00,4292.44,-214.71,-2.44
2024-02-07 15:26:00,long,4390.0,2,8780,closed,2024-02-09 09:54:00,4287.74,-204.52,-2.33
2024-02-09 15:26:00,short,4309.1,1,4309,closed,2024-02-09 15:29:00,4312.4,-3.3,-0.08
2024-02-12 15:26:00,short,4341.65,2,8683,closed,2024-02-12 15:29:00,4335.0,13.3,0.15
2024-02-13 15:26:00,short,4328.0,2,8656,closed,2024-02-13 15:29:00,4324.0,8.0,0.09
2024-02-14 15:26:00,long,4360.65,2,8721,closed,2024-02-16 12:47:00,4539.6,357.9,4.1
2024-02-15 15:26:00,long,4617.4,1,4617,closed,2024-02-16 12:47:00,4539.6,-77.8,-1.68
2024-02-20 15:26:00,short,4730.05,2,9460,closed,2024-02-20 15:29:00,4726.8,6.5,0.07
2024-02-22 15:26:00,long,4722.85,2,9446,closed,2024-02-26 12:15:00,4721.57,-2.56,-0.03
2024-02-23 15:26:00,short,4796.4,1,4796,closed,2024-02-23 15:29:00,4795.0,1.4,0.03
2024-02-26 15:26:00,short,4781.35,1,4781,closed,2024-02-26 15:29:00,4787.0,-5.65,-0.12
2024-02-27 15:26:00,long,4770.0,2,9540,closed,2024-03-06 10:02:00,4805.38,70.76,0.74
2024-02-28 15:26:00,short,4703.7,1,4704,closed,2024-02-28 15:29:00,4690.0,13.7,0.29
2024-02-29 15:26:00,long,4780.0,1,4780,closed,2024-03-06 10:02:00,4805.38,25.38,0.53
2024-03-05 15:26:00,short,4908.25,1,4908,closed,2024-03-05 15:29:00,4914.0,-5.75,-0.12
2024-03-06 15:26:00,short,4873.85,1,4874,closed,2024-03-06 15:29:00,4876.45,-2.6,-0.05
2024-03-07 15:26:00,long,4895.0,2,9790,closed,2024-03-12 11:58:00,4842.24,-105.52,-1.08
2024-03-12 15:26:00,long,4858.6,1,4859,closed,2024-03-13 12:18:00,4781.28,-77.32,-1.59
2024-03-13 15:26:00,short,4759.0,1,4759,closed,2024-03-13 15:29:00,4760.05,-1.05,-0.02
2024-03-14 15:26:00,short,4888.35,2,9777,closed,2024-03-14 15:29:00,4875.0,26.7,0.27
2024-03-15 15:26:00,long,4907.85,2,9816,closed,2024-03-19 09:22:00,4767.55,-280.6,-2.86
2024-03-18 15:26:00,long,4801.3,1,4801,closed,2024-03-19 15:14:00,4674.82,-126.48,-2.63
2024-03-19 15:26:00,long,4679.55,1,4680,closed,2024-03-22 15:20:00,4886.52,206.97,4.42
2024-03-20 15:26:00,long,4741.45,1,4741,closed,2024-03-22 15:20:00,4886.52,145.07,3.06
