EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-04 15:26:00,long,318.2,31,9864,closed,2024-01-18 09:36:00,311.55,-206.07,-2.09
2024-01-05 15:26:00,short,315.95,28,8847,closed,2024-01-05 15:29:00,316.4,-12.6,-0.14
2024-01-08 15:26:00,long,312.6,28,8753,closed,2024-01-18 09:36:00,311.55,-29.33,-0.34
2024-01-09 15:26:00,long,314.4,25,7860,closed,2024-01-18 09:36:00,311.55,-71.19,-0.91
2024-01-10 15:26:00,short,322.25,22,7090,closed,2024-01-10 15:29:00,322.65,-8.8,-0.12
2024-01-11 15:26:00,long,325.0,22,7150,closed,2024-01-18 09:36:00,311.55,-295.85,-4.14
2024-01-15 15:26:00,short,323.7,20,6474,closed,2024-01-15 15:29:00,324.0,-6.0,-0.09
2024-01-16 15:26:00,short,320.25,20,6405,closed,2024-01-16 15:29:00,320.15,2.0,0.03
2024-01-17 15:26:00,short,316.75,20,6335,closed,2024-01-17 15:29:00,316.4,7.0,0.11
2024-01-18 15:26:00,long,308.95,21,6488,closed,2024-01-23 15:29:00,299.91,-189.74,-2.92
2024-01-19 15:26:00,long,312.0,29,9048,closed,2024-01-23 15:29:00,299.91,-350.47,-3.87
2024-01-23 15:26:00,short,300.5,27,8114,closed,2024-01-23 15:29:00,300.95,-12.15,-0.15
2024-01-24 15:26:00,short,306.6,32,9811,closed,2024-01-24 15:29:00,306.15,14.4,0.15
2024-01-29 15:26:00,long,301.1,32,9635,closed,2024-02-06 09:19:00,294.4,-214.24,-2.22
2024-01-30 15:26:00,long,295.35,30,8860,closed,2024-02-06 09:19:00,294.4,-28.35,-0.32
2024-02-01 15:26:00,short,301.8,26,7847,closed,2024-02-01 15:29:00,301.5,7.8,0.1
2024-02-02 15:26:00,short,304.55,26,7918,closed,2024-02-02 15:29:00,303.7,22.1,0.28
2024-02-05 15:26:00,short,301.65,26,7843,closed,2024-02-05 15:29:00,301.55,2.6,0.03
2024-02-06 15:26:00,long,288.85,27,7799,closed,2024-02-15 09:15:00,277.83,-297.61,-3.82
2024-02-07 15:26:00,short,288.3,31,8937,closed,2024-02-07 15:29:00,288.5,-6.2,-0.07
2024-02-08 15:26:00,short,286.55,31,8883,closed,2024-02-08 15:29:00,287.65,-34.1,-0.38
2024-02-09 15:26:00,long,286.9,31,8894,closed,2024-03-12 10:46:00,287.71,25.03,0.28
2024-02-12 15:26:00,long,284.5,28,7966,closed,2024-03-12 10:46:00,287.71,89.81,1.13
2024-02-13 15:26:00,short,285.1,25,7128,closed,2024-02-13 15:29:00,285.8,-17.5,-0.25
2024-02-14 15:26:00,long,285.5,25,7138,closed,2024-03-12 10:46:00,287.71,55.19,0.77
2024-02-15 15:26:00,long,283.5,23,6520,closed,2024-03-12 10:46:00,287.71,96.77,1.48
2024-02-19 15:26:00,long,290.25,23,6676,closed,2024-03-12 10:46:00,287.71,-58.48,-0.88
2024-02-20 15:26:00,long,290.0,21,6090,closed,2024-03-12 10:46:00,287.71,-48.14,-0.79
2024-02-21 15:26:00,short,290.5,18,5229,closed,2024-02-21 15:29:00,290.1,7.2,0.14
2024-02-22 15:26:00,long,293.3,18,5279,closed,2024-03-12 10:46:00,287.71,-100.67,-1.91
2024-02-26 15:26:00,long,288.15,17,4899,closed,2024-03-12 10:46:00,287.71,-7.52,-0.15
2024-02-27 15:26:00,short,290.8,15,4362,closed,2024-02-27 15:29:00,290.5,4.5,0.1
2024-02-29 15:26:00,long,291.1,15,4366,closed,2024-03-12 10:46:00,287.71,-50.89,-1.17
2024-03-04 15:26:00,long,299.0,13,3887,closed,2024-03-12 14:31:00,285.9,-170.27,-4.38
2024-03-05 15:26:00,long,295.65,12,3548,closed,2024-03-13 11:57:00,281.86,-165.42,-4.66
2024-03-11 15:26:00,long,288.55,11,3174,closed,2024-03-13 14:33:00,276.26,-135.19,-4.26
2024-03-12 15:26:00,long,286.4,10,2864,closed,2024-03-13 14:42:00,274.55,-118.5,-4.14
2024-03-13 15:26:00,long,277.45,31,8601,closed,2024-03-18 10:10:00,271.51,-184.14,-2.14
2024-03-15 15:26:00,long,275.35,32,8811,closed,2024-03-20 09:58:00,264.34,-352.4,-4.0
2024-03-18 15:26:00,short,271.4,29,7871,closed,2024-03-18 15:29:00,271.5,-2.9,-0.04
2024-03-19 15:26:00,short,266.8,33,8804,closed,2024-03-19 15:29:00,266.8,0.0,0.0
2024-03-21 15:26:00,long,270.15,35,9455,closed,2024-05-10 12:56:00,327.94,2022.65,21.39
2024-03-27 15:26:00,long,266.0,32,8512,closed,2024-05-10 12:56:00,327.94,1982.08,23.29
2024-04-01 15:26:00,long,270.8,29,7853,closed,2024-05-10 12:56:00,327.94,1657.06,21.1
