EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,long,1864.95,5,9325,closed,2024-01-10 09:45:00,1815.36,-247.98,-2.66
2024-01-03 15:26:00,long,1864.75,4,7459,closed,2024-01-10 09:45:00,1815.36,-197.58,-2.65
2024-01-04 15:26:00,long,1864.15,4,7457,closed,2024-01-10 13:40:00,1813.8,-201.39,-2.7
2024-01-08 15:26:00,long,1826.4,4,7306,closed,2024-01-17 10:36:00,1805.12,-85.11,-1.17
2024-01-12 15:26:00,long,1835.7,5,9178,closed,2024-01-17 10:36:00,1805.12,-152.89,-1.67
2024-01-18 15:26:00,long,1777.7,5,8888,closed,2024-01-23 13:47:00,1774.57,-15.67,-0.18
2024-01-23 15:26:00,long,1789.35,5,8947,closed,2024-02-06 10:30:00,1794.5,25.75,0.29
2024-01-25 15:26:00,long,1777.5,5,8888,closed,2024-02-06 10:30:00,1794.5,85.0,0.96
2024-01-29 15:26:00,short,1823.9,4,7296,closed,2024-01-29 15:29:00,1825.5,-6.4,-0.09
2024-01-31 15:26:00,long,1824.8,4,7299,closed,2024-02-06 10:30:00,1794.5,-121.2,-1.66
2024-02-01 15:26:00,long,1823.6,4,7294,closed,2024-02-06 10:30:00,1794.5,-116.4,-1.6
2024-02-07 15:26:00,long,1799.2,5,8996,closed,2024-02-08 14:26:00,1749.88,-246.6,-2.74
2024-02-13 15:26:00,short,1731.7,5,8658,closed,2024-02-13 15:29:00,1733.0,-6.5,-0.08
2024-02-14 15:26:00,long,1748.2,5,8741,closed,2024-02-22 14:20:00,1715.93,-161.35,-1.85
2024-02-22 15:26:00,long,1728.6,5,8643,closed,2024-02-28 15:15:00,1680.77,-239.16,-2.77
2024-02-27 15:26:00,long,1708.5,5,8542,closed,2024-03-12 10:44:00,1718.79,51.46,0.6
2024-02-28 15:26:00,long,1680.65,4,6723,closed,2024-03-12 10:44:00,1718.79,152.57,2.27
2024-02-29 15:26:00,long,1693.75,4,6775,closed,2024-03-12 10:44:00,1718.79,100.17,1.48
2024-03-01 15:26:00,long,1727.4,4,6910,closed,2024-03-12 10:44:00,1718.79,-34.43,-0.5
2024-03-04 15:26:00,long,1727.9,4,6912,closed,2024-03-12 10:44:00,1718.79,-36.43,-0.53
2024-03-06 15:26:00,short,1756.35,3,5269,closed,2024-03-06 15:29:00,1759.7,-10.05,-0.19
2024-03-07 15:26:00,long,1748.9,3,5247,closed,2024-03-12 10:44:00,1716.75,-96.44,-1.84
2024-03-11 15:26:00,short,1729.65,3,5189,closed,2024-03-11 15:29:00,1728.9,2.25,0.04
2024-03-13 15:26:00,short,1719.3,5,8596,closed,2024-03-13 15:29:00,1725.3,-30.0,-0.35
2024-03-14 15:26:00,short,1741.55,5,8708,closed,2024-03-14 15:29:00,1739.95,8.0,0.09
2024-03-15 15:26:00,short,1733.8,5,8669,closed,2024-03-15 15:29:00,1734.0,-1.0,-0.01
2024-03-18 15:26:00,long,1739.1,5,8696,closed,2024-04-02 13:05:00,1763.12,120.1,1.38
2024-03-20 15:26:00,long,1767.4,5,8837,closed,2024-04-02 13:05:00,1763.12,-21.4,-0.24
2024-03-21 15:26:00,short,1770.1,4,7080,closed,2024-03-21 15:29:00,1767.0,12.4,0.18
2024-03-27 15:26:00,short,1776.5,4,7106,closed,2024-03-27 15:29:00,1771.25,21.0,0.3
2024-03-28 15:26:00,long,1787.85,4,7151,closed,2024-04-02 13:05:00,1763.12,-98.92,-1.38
2024-04-10 15:26:00,short,1821.4,5,9107,closed,2024-04-10 15:29:00,1820.9,2.5,0.03
2024-04-15 15:26:00,long,1800.75,5,9004,closed,2024-04-25 09:15:00,1665.0,-678.75,-7.54
2024-04-18 15:26:00,long,1786.1,5,8930,closed,2024-04-25 09:15:00,1665.0,-605.5,-6.78
2024-04-19 15:26:00,short,1790.55,4,7162,closed,2024-04-19 15:29:00,1789.9,2.6,0.04
2024-04-23 15:26:00,short,1811.45,4,7246,closed,2024-04-23 15:29:00,1810.0,5.8,0.08
2024-04-25 15:26:00,short,1645.0,4,6580,closed,2024-04-25 15:29:00,1645.0,0.0,0.0
