EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,short,1089.9,9,9809,closed,2024-01-02 15:29:00,1089.55,3.15,0.03
2024-01-03 15:26:00,long,1101.35,9,9912,closed,2024-01-17 09:15:00,1082.0,-174.15,-1.76
2024-01-04 15:26:00,long,1126.15,7,7883,closed,2024-01-17 09:15:00,1082.0,-309.05,-3.92
2024-01-05 15:26:00,long,1136.45,7,7955,closed,2024-01-17 09:15:00,1082.0,-381.15,-4.79
2024-01-08 15:26:00,long,1123.4,6,6740,closed,2024-01-18 09:15:00,1066.0,-344.4,-5.11
2024-01-10 15:26:00,long,1110.95,6,6666,closed,2024-01-18 09:15:00,1066.0,-269.7,-4.05
2024-01-11 15:26:00,short,1126.0,5,5630,closed,2024-01-11 15:29:00,1125.0,5.0,0.09
2024-01-12 15:26:00,short,1118.75,5,5594,closed,2024-01-12 15:29:00,1119.05,-1.5,-0.03
2024-01-15 15:26:00,long,1118.75,5,5594,closed,2024-01-18 09:15:00,1066.0,-263.75,-4.72
2024-01-16 15:26:00,long,1119.9,4,4480,closed,2024-01-23 12:40:00,1084.52,-141.52,-3.16
2024-01-18 15:26:00,short,1096.3,6,6578,closed,2024-01-18 15:29:00,1093.25,18.3,0.28
2024-01-19 15:26:00,long,1120.0,8,8960,closed,2024-01-23 12:40:00,1084.52,-283.84,-3.17
2024-01-23 15:26:00,short,1084.1,7,7589,closed,2024-01-23 15:29:00,1082.0,14.7,0.19
2024-01-29 15:26:00,long,1061.95,9,9558,closed,2024-02-08 11:02:00,1041.39,-185.04,-1.94
2024-01-31 15:26:00,short,1067.95,8,8544,closed,2024-01-31 15:29:00,1067.5,3.6,0.04
2024-02-01 15:26:00,long,1086.45,8,8692,closed,2024-02-08 11:02:00,1041.39,-360.48,-4.15
2024-02-05 15:26:00,short,1061.15,7,7428,closed,2024-02-05 15:29:00,1059.2,13.65,0.18
2024-02-06 15:26:00,long,1051.3,7,7359,closed,2024-03-13 11:05:00,1075.35,168.37,2.29
2024-02-07 15:26:00,long,1070.0,6,6420,closed,2024-03-13 11:05:00,1075.35,32.11,0.5
2024-02-12 15:26:00,long,1047.9,7,7335,closed,2024-03-13 11:05:00,1075.35,192.17,2.62
2024-02-13 15:26:00,short,1071.8,7,7503,closed,2024-02-13 15:29:00,1070.6,8.4,0.11
2024-02-14 15:26:00,long,1095.95,6,6576,closed,2024-03-13 11:05:00,1075.35,-123.59,-1.88
2024-02-15 15:26:00,long,1074.05,6,6444,closed,2024-03-13 11:05:00,1075.35,7.82,0.12
2024-02-16 15:26:00,short,1067.25,5,5336,closed,2024-02-16 15:29:00,1068.0,-3.75,-0.07
2024-02-19 15:26:00,long,1064.9,5,5324,closed,2024-03-13 11:05:00,1075.35,52.26,0.98
2024-02-20 15:26:00,long,1089.35,5,5447,closed,2024-03-13 11:05:00,1075.35,-69.99,-1.28
2024-02-21 15:26:00,short,1080.15,4,4321,closed,2024-02-21 15:29:00,1079.55,2.4,0.06
2024-02-22 15:26:00,long,1101.95,4,4408,closed,2024-03-13 11:05:00,1075.35,-106.39,-2.41
2024-02-26 15:26:00,short,1085.1,4,4340,closed,2024-02-26 15:29:00,1084.0,4.4,0.1
2024-02-27 15:26:00,long,1079.55,4,4318,closed,2024-03-13 11:05:00,1075.35,-16.79,-0.39
2024-02-28 15:26:00,long,1073.55,4,4294,closed,2024-03-13 11:05:00,1075.35,7.21,0.17
2024-02-29 15:26:00,long,1080.9,3,3243,closed,2024-03-13 11:05:00,1075.35,-16.64,-0.51
2024-03-04 15:26:00,long,1107.65,3,3323,closed,2024-03-13 11:05:00,1075.35,-96.89,-2.92
2024-03-06 15:26:00,short,1124.1,2,2248,closed,2024-03-06 15:29:00,1124.0,0.2,0.01
2024-03-07 15:26:00,short,1110.8,2,2222,closed,2024-03-07 15:29:00,1111.0,-0.4,-0.02
