EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-01 15:26:00,short,8728.0,1,8728,closed,2024-01-01 15:29:00,8749.0,-21.0,-0.24
2024-01-02 15:26:00,long,8719.0,1,8719,closed,2024-01-18 09:15:00,8501.55,-217.45,-2.49
2024-01-03 15:26:00,short,8601.0,1,8601,closed,2024-01-03 15:29:00,8602.5,-1.5,-0.02
2024-01-04 15:26:00,long,8660.0,1,8660,closed,2024-01-18 09:15:00,8501.55,-158.45,-1.83
2024-01-19 15:26:00,long,8294.7,1,8295,closed,2024-01-24 09:15:00,7968.6,-326.1,-3.93
2024-01-20 15:26:00,short,8284.0,1,8284,closed,2024-01-20 15:29:00,8289.0,-5.0,-0.06
2024-01-23 15:26:00,long,8196.3,1,8196,closed,2024-01-24 13:58:00,7799.45,-396.85,-4.84
2024-01-24 15:26:00,long,7777.0,1,7777,closed,2024-02-09 10:00:00,7554.83,-222.17,-2.86
2024-01-25 15:26:00,short,7649.95,1,7650,closed,2024-01-25 15:29:00,7659.0,-9.05,-0.12
2024-01-29 15:26:00,short,7683.0,1,7683,closed,2024-01-29 15:29:00,7680.0,3.0,0.04
2024-01-30 15:26:00,short,7601.0,1,7601,closed,2024-01-30 15:29:00,7600.0,1.0,0.01
2024-02-01 15:26:00,short,7649.8,1,7650,closed,2024-02-01 15:29:00,7646.0,3.8,0.05
2024-02-02 15:26:00,short,7617.65,1,7618,closed,2024-02-02 15:29:00,7635.0,-17.35,-0.23
2024-02-05 15:26:00,short,7600.15,1,7600,closed,2024-02-05 15:29:00,7595.0,5.15,0.07
2024-02-07 15:26:00,long,7789.6,1,7790,closed,2024-02-13 09:18:00,7455.6,-334.0,-4.29
2024-02-08 15:26:00,short,7729.85,1,7730,closed,2024-02-08 15:29:00,7724.0,5.85,0.08
2024-02-09 15:26:00,long,7640.9,1,7641,closed,2024-02-14 09:15:00,7353.0,-287.9,-3.77
2024-02-12 15:26:00,short,7480.0,1,7480,closed,2024-02-12 15:29:00,7485.0,-5.0,-0.07
2024-02-13 15:26:00,long,7448.0,1,7448,closed,2024-02-28 12:59:00,7595.25,147.25,1.98
2024-02-14 15:26:00,long,7427.55,1,7428,closed,2024-02-28 12:59:00,7595.25,167.7,2.26
2024-02-15 15:26:00,short,7456.0,1,7456,closed,2024-02-15 15:29:00,7462.0,-6.0,-0.08
2024-02-16 15:26:00,long,7510.35,1,7510,closed,2024-02-28 12:59:00,7595.25,84.9,1.13
2024-02-29 15:26:00,short,7819.05,1,7819,closed,2024-02-29 15:29:00,7916.4,-97.35,-1.25
2024-03-01 15:26:00,long,7728.5,1,7728,closed,2024-03-12 15:20:00,7518.87,-209.63,-2.71
2024-03-04 15:26:00,long,7690.0,1,7690,closed,2024-03-12 15:20:00,7518.87,-171.13,-2.23
2024-03-06 15:26:00,short,7602.9,1,7603,closed,2024-03-06 15:29:00,7605.0,-2.1,-0.03
2024-03-07 15:26:00,long,7684.8,1,7685,closed,2024-03-13 14:57:00,7446.86,-237.94,-3.1
2024-03-13 15:26:00,short,7352.05,1,7352,closed,2024-03-13 15:29:00,7399.0,-46.95,-0.64
2024-03-14 15:26:00,short,7720.0,1,7720,closed,2024-03-14 15:29:00,7731.05,-11.05,-0.14
2024-03-15 15:26:00,short,7711.0,1,7711,closed,2024-03-15 15:29:00,7715.0,-4.0,-0.05
2024-03-18 15:26:00,long,7726.0,1,7726,closed,2024-04-12 13:42:00,7785.25,59.25,0.77
2024-03-19 15:26:00,short,7610.0,1,7610,closed,2024-03-19 15:29:00,7605.0,5.0,0.07
2024-03-20 15:26:00,short,7541.3,1,7541,closed,2024-03-20 15:29:00,7560.0,-18.7,-0.25
2024-03-21 15:26:00,short,7704.55,1,7705,closed,2024-03-21 15:29:00,7697.0,7.55,0.1
2024-03-22 15:26:00,short,7664.9,1,7665,closed,2024-03-22 15:29:00,7665.0,-0.1,-0.0
2024-03-26 15:26:00,short,7720.0,1,7720,closed,2024-03-26 15:29:00,7715.0,5.0,0.06
2024-03-27 15:26:00,long,7685.0,1,7685,closed,2024-04-12 13:42:00,7785.25,100.25,1.3
2024-03-28 15:26:00,short,7780.8,1,7781,closed,2024-03-28 15:29:00,7753.65,27.15,0.35
2024-04-01 15:26:00,long,7749.5,1,7750,closed,2024-04-12 13:42:00,7785.25,35.75,0.46
2024-04-15 15:26:00,long,7554.95,1,7555,closed,2024-04-24 09:15:00,7034.05,-520.9,-6.89
2024-04-16 15:26:00,long,7525.05,1,7525,closed,2024-04-24 09:15:00,7034.05,-491.0,-6.52
2024-04-18 15:26:00,short,7494.85,1,7495,closed,2024-04-18 15:29:00,7480.5,14.35,0.19
2024-04-22 15:26:00,short,7428.15,1,7428,closed,2024-04-22 15:29:00,7430.0,-1.85,-0.02
2024-04-23 15:26:00,short,7380.5,1,7380,closed,2024-04-23 15:29:00,7390.0,-9.5,-0.13
2024-04-24 15:26:00,long,7047.0,1,7047,closed,2024-05-30 11:45:00,7181.05,134.05,1.9
2024-04-25 15:26:00,long,7089.1,1,7089,closed,2024-05-30 11:45:00,7181.05,91.95,1.3
2024-04-26 15:26:00,short,7094.1,1,7094,closed,2024-04-26 15:29:00,7110.0,-15.9,-0.22
2024-04-29 15:26:00,long,7109.0,1,7109,closed,2024-05-30 11:45:00,7181.05,72.05,1.01
2024-04-30 15:26:00,long,7030.3,1,7030,closed,2024-05-30 11:45:00,7181.05,150.75,2.14
