EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-01 15:26:00,short,1013.1,9,9118,closed,2024-01-01 15:29:00,1012.0,9.9,0.11
2024-01-02 15:26:00,long,1021.85,9,9197,closed,2024-02-05 13:32:00,1116.6,852.79,9.27
2024-01-03 15:26:00,short,1034.35,8,8275,closed,2024-01-03 15:29:00,1034.65,-2.4,-0.03
2024-01-04 15:26:00,long,1053.0,8,8424,closed,2024-02-05 13:32:00,1116.6,508.84,6.04
2024-01-08 15:26:00,short,1048.25,7,7338,closed,2024-01-08 15:29:00,1046.75,10.5,0.14
2024-01-09 15:26:00,long,1066.0,7,7462,closed,2024-02-05 13:32:00,1116.6,354.23,4.75
2024-01-11 15:26:00,short,1059.35,7,7415,closed,2024-01-11 15:29:00,1060.0,-4.55,-0.06
2024-01-12 15:26:00,long,1077.6,6,6466,closed,2024-02-05 13:32:00,1116.6,234.03,3.62
2024-01-16 15:26:00,long,1095.5,6,6573,closed,2024-02-05 13:32:00,1116.6,126.63,1.93
2024-01-17 15:26:00,short,1084.7,5,5424,closed,2024-01-17 15:29:00,1081.1,18.0,0.33
2024-01-18 15:26:00,long,1085.85,5,5429,closed,2024-02-05 13:32:00,1116.6,153.77,2.83
2024-01-24 15:26:00,short,1190.5,4,4762,closed,2024-01-24 15:29:00,1187.2,13.2,0.28
2024-01-25 15:26:00,long,1160.85,4,4643,closed,2024-02-22 10:34:00,1098.19,-250.64,-5.4
2024-01-29 15:26:00,short,1160.65,4,4643,closed,2024-01-29 15:29:00,1161.55,-3.6,-0.08
2024-01-30 15:26:00,long,1161.6,4,4646,closed,2024-05-03 13:38:00,1259.22,390.48,8.4
2024-01-31 15:26:00,short,1170.75,4,4683,closed,2024-01-31 15:29:00,1171.75,-4.0,-0.09
2024-02-05 15:26:00,short,1113.35,4,4453,closed,2024-02-05 15:29:00,1114.55,-4.8,-0.11
2024-02-06 15:26:00,long,1137.65,8,9101,closed,2024-05-03 13:38:00,1259.22,972.56,10.69
2024-02-08 15:26:00,long,1142.1,7,7995,closed,2024-05-03 13:38:00,1259.22,819.84,10.25
2024-02-09 15:26:00,short,1119.0,6,6714,closed,2024-02-09 15:29:00,1120.0,-6.0,-0.09
2024-02-12 15:26:00,long,1118.2,6,6709,closed,2024-05-03 13:38:00,1259.22,846.12,12.61
2024-02-15 15:26:00,long,1120.9,6,6725,closed,2024-05-03 13:38:00,1259.22,829.92,12.34
2024-02-16 15:26:00,long,1120.35,5,5602,closed,2024-05-03 13:38:00,1259.22,694.35,12.4
2024-02-19 15:26:00,long,1143.1,4,4572,closed,2024-05-03 13:38:00,1259.22,464.48,10.16
2024-02-20 15:26:00,long,1144.25,4,4577,closed,2024-05-03 13:38:00,1259.22,459.88,10.05
2024-02-21 15:26:00,long,1141.6,4,4566,closed,2024-05-03 13:38:00,1259.22,470.48,10.3
2024-02-22 15:26:00,long,1136.3,3,3409,closed,2024-05-03 13:38:00,1259.22,368.76,10.82
2024-02-23 15:26:00,long,1122.9,3,3369,closed,2024-05-03 13:38:00,1259.22,408.96,12.14
2024-02-26 15:26:00,long,1111.2,3,3334,closed,2024-05-03 13:38:00,1259.22,444.06,13.32
2024-02-29 15:26:00,long,1129.45,3,3388,closed,2024-05-03 13:38:00,1259.22,389.31,11.49
2024-03-04 15:26:00,short,1132.95,3,3399,closed,2024-03-04 15:29:00,1133.25,-0.9,-0.03
2024-03-07 15:26:00,long,1201.4,2,2403,closed,2024-05-03 13:38:00,1259.22,115.64,4.81
2024-03-11 15:26:00,short,1194.15,2,2388,closed,2024-03-11 15:29:00,1198.3,-8.3,-0.35
2024-03-14 15:26:00,short,1195.25,2,2390,closed,2024-03-14 15:29:00,1197.0,-3.5,-0.15
2024-03-15 15:26:00,short,1217.0,2,2434,closed,2024-03-15 15:29:00,1213.95,6.1,0.25
2024-03-18 15:26:00,short,1224.1,2,2448,closed,2024-03-18 15:29:00,1226.0,-3.8,-0.16
2024-03-19 15:26:00,short,1225.1,2,2450,closed,2024-03-19 15:29:00,1225.4,-0.6,-0.02
2024-03-26 15:26:00,long,1212.05,2,2424,closed,2024-05-03 13:38:00,1259.22,94.34,3.89
2024-03-27 15:26:00,long,1227.35,2,2455,closed,2024-05-03 13:38:00,1259.22,63.74,2.6
2024-03-28 15:26:00,long,1230.5,2,2461,closed,2024-05-03 13:38:00,1259.22,57.44,2.33
2024-04-02 15:26:00,long,1209.15,2,2418,closed,2024-05-03 13:38:00,1259.22,100.14,4.14
2024-04-05 15:26:00,short,1189.8,1,1190,closed,2024-04-05 15:29:00,1190.0,-0.2,-0.02
2024-04-10 15:26:00,long,1229.95,1,1230,closed,2024-05-03 13:38:00,1259.22,29.27,2.38
2024-04-12 15:26:00,short,1222.9,1,1223,closed,2024-04-12 15:29:00,1222.85,0.05,0.0
2024-04-15 15:26:00,long,1225.35,1,1225,closed,2024-05-03 13:38:00,1259.22,33.87,2.76
2024-04-16 15:26:00,long,1216.95,1,1217,closed,2024-05-03 13:38:00,1259.22,42.27,3.47
2024-04-22 15:26:00,long,1298.85,1,1299,closed,2024-05-03 13:38:00,1259.22,-39.63,-3.05
2024-04-23 15:26:00,long,1344.1,1,1344,closed,2024-05-03 13:38:00,1259.22,-84.88,-6.32
2024-04-25 15:26:00,long,1341.15,1,1341,closed,2024-06-04 10:59:00,1321.02,-20.13,-1.5
2024-04-29 15:26:00,short,1331.6,1,1332,closed,2024-04-29 15:29:00,1332.9,-1.3,-0.1
2024-04-30 15:26:00,short,1323.75,1,1324,closed,2024-04-30 15:29:00,1324.5,-0.75,-0.06
2024-05-02 15:26:00,long,1302.3,1,1302,closed,2024-06-04 10:59:00,1321.02,18.72,1.44
2024-05-07 15:26:00,short,1285.85,8,10287,closed,2024-05-07 15:29:00,1285.95,-0.8,-0.01
2024-05-08 15:26:00,long,1288.85,8,10311,closed,2024-06-04 10:59:00,1321.02,257.35,2.5
2024-05-13 15:26:00,long,1285.55,7,8999,closed,2024-06-04 10:59:00,1321.02,248.28,2.76
2024-05-15 15:26:00,long,1312.4,6,7874,closed,2024-06-04 10:59:00,1321.02,51.71,0.66
2024-05-17 15:26:00,short,1342.4,5,6712,closed,2024-05-17 15:29:00,1345.8,-17.0,-0.25
2024-05-21 15:26:00,long,1340.9,5,6704,closed,2024-06-04 10:59:00,1321.02,-99.41,-1.48
2024-05-22 15:26:00,short,1345.75,5,6729,closed,2024-05-22 15:29:00,1348.55,-14.0,-0.21
2024-05-27 15:26:00,short,1380.1,5,6900,closed,2024-05-27 15:29:00,1380.5,-2.0,-0.03
2024-05-28 15:26:00,short,1370.8,5,6854,closed,2024-05-28 15:29:00,1368.1,13.5,0.2
2024-05-29 15:26:00,short,1375.55,5,6878,closed,2024-05-29 15:29:00,1374.5,5.25,0.08
2024-05-30 15:26:00,long,1378.05,5,6890,closed,2024-06-04 10:59:00,1321.02,-285.16,-4.14
2024-05-31 15:26:00,long,1380.85,4,5523,closed,2024-06-04 10:59:00,1321.02,-239.33,-4.33
2024-06-03 15:26:00,long,1391.9,4,5568,closed,2024-06-04 11:08:00,1301.55,-361.4,-6.49
2024-06-05 15:26:00,short,1345.35,8,10763,closed,2024-06-05 15:29:00,1344.1,10.0,0.09
2024-06-06 15:26:00,short,1372.55,7,9608,closed,2024-06-06 15:29:00,1374.0,-10.15,-0.11
2024-06-07 15:26:00,long,1426.1,7,9983,closed,2024-07-02 12:59:00,1428.71,18.29,0.18
2024-06-10 15:26:00,short,1424.75,6,8548,closed,2024-06-10 15:29:00,1421.05,22.2,0.26
2024-06-11 15:26:00,long,1423.15,6,8539,closed,2024-07-02 12:59:00,1428.71,33.37,0.39
2024-06-14 15:26:00,short,1428.25,6,8570,closed,2024-06-14 15:29:00,1429.4,-6.9,-0.08
2024-06-20 15:26:00,short,1380.8,6,8285,closed,2024-06-20 15:29:00,1380.95,-0.9,-0.01
2024-06-21 15:26:00,short,1414.85,6,8489,closed,2024-06-21 15:29:00,1403.25,69.6,0.82
2024-06-24 15:26:00,long,1419.95,6,8520,closed,2024-07-02 12:59:00,1428.71,52.57,0.62
2024-06-25 15:26:00,long,1415.9,5,7080,closed,2024-07-02 12:59:00,1428.71,64.06,0.9
2024-06-27 15:26:00,long,1485.25,5,7426,closed,2024-07-02 12:59:00,1428.71,-282.69,-3.81
2024-06-28 15:26:00,long,1447.0,4,5788,closed,2024-10-04 12:59:00,1654.47,829.88,14.34
2024-07-01 15:26:00,short,1456.1,4,5824,closed,2024-07-01 15:29:00,1458.0,-7.6,-0.13
2024-07-05 15:26:00,short,1429.25,7,10005,closed,2024-07-05 15:29:00,1429.25,0.0,0.0
2024-07-08 15:26:00,long,1436.4,7,10055,closed,2024-10-04 12:59:00,1654.47,1526.49,15.18
2024-07-09 15:26:00,short,1433.95,6,8604,closed,2024-07-09 15:29:00,1434.35,-2.4,-0.03
2024-07-10 15:26:00,long,1444.9,6,8669,closed,2024-10-04 12:59:00,1654.47,1257.42,14.5
2024-07-11 15:26:00,long,1440.85,5,7204,closed,2024-10-04 12:59:00,1654.47,1068.1,14.83
2024-07-12 15:26:00,short,1430.8,5,7154,closed,2024-07-12 15:29:00,1429.9,4.5,0.06
2024-07-15 15:26:00,long,1439.7,5,7198,closed,2024-10-04 12:59:00,1654.47,1073.85,14.92
2024-07-16 15:26:00,long,1466.45,4,5866,closed,2024-10-04 12:59:00,1654.47,752.08,12.82
2024-07-18 15:26:00,short,1483.65,4,5935,closed,2024-07-18 15:29:00,1480.6,12.2,0.21
2024-07-19 15:26:00,short,1466.4,4,5866,closed,2024-07-19 15:29:00,1463.05,13.4,0.23
2024-07-22 15:26:00,short,1463.55,4,5854,closed,2024-07-22 15:29:00,1463.9,-1.4,-0.02
2024-07-23 15:26:00,short,1465.05,4,5860,closed,2024-07-23 15:29:00,1465.4,-1.4,-0.02
2024-07-26 15:26:00,short,1510.85,4,6043,closed,2024-07-26 15:29:00,1510.05,3.2,0.05
2024-07-29 15:26:00,long,1481.15,4,5925,closed,2024-10-04 12:59:00,1654.47,693.28,11.7
2024-07-30 15:26:00,long,1469.8,4,5879,closed,2024-10-04 12:59:00,1654.47,738.68,12.56
2024-07-31 15:26:00,short,1489.6,3,4469,closed,2024-07-31 15:29:00,1493.0,-10.2,-0.23
2024-08-01 15:26:00,short,1504.9,3,4515,closed,2024-08-01 15:29:00,1502.1,8.4,0.19
2024-08-02 15:26:00,long,1493.25,3,4480,closed,2024-10-04 12:59:00,1654.47,483.66,10.8
2024-08-07 15:26:00,short,1437.5,3,4312,closed,2024-08-07 15:29:00,1437.45,0.15,0.0
2024-08-08 15:26:00,short,1450.35,3,4351,closed,2024-08-08 15:29:00,1449.05,3.9,0.09
