TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,250.0,40,0.0,10000.0,282556,181498,2354.63,18149.8
2024-01-01 15:29:00,close,249.95,40,2.0,9998.0,0,0,0.0,0.0
2024-01-02 15:26:00,long,251.0,39,0.0,9789.0,281160,78170,2343.0,7817.0
2024-01-04 15:26:00,short,258.0,34,0.0,8772.0,654296,143222,5452.47,14322.2
2024-01-04 15:29:00,close,257.5,34,17.0,8755.0,0,0,0.0,0.0
2024-01-05 15:26:00,short,255.45,35,0.0,8940.75,405638,78118,3380.32,7811.8
2024-01-05 15:29:00,close,256.0,35,-19.25,8960.0,0,0,0.0,0.0
2024-01-08 15:26:00,short,254.2,35,0.0,8897.0,245834,44400,2048.62,4440.0
2024-01-08 15:29:00,close,253.5,35,24.5,8872.5,0,0,0.0,0.0
2024-01-09 15:26:00,short,256.25,35,0.0,8968.75,423552,100040,3529.6,10004.0
2024-01-09 15:29:00,close,255.05,35,42.0,8926.75,0,0,0.0,0.0
2024-01-11 15:26:00,short,264.0,34,0.0,8976.0,651790,178722,5431.58,17872.2
2024-01-11 15:29:00,close,264.5,34,-17.0,8993.0,0,0,0.0,0.0
2024-01-12 15:26:00,short,259.4,34,0.0,8819.6,199640,113810,1663.67,11381.0
2024-01-12 15:29:00,close,259.05,34,11.9,8807.7,0,0,0.0,0.0
2024-01-15 15:26:00,short,266.75,33,0.0,8802.75,1107054,214080,9225.45,21408.0
2024-01-15 15:29:00,close,267.4,33,-21.45,8824.2,0,0,0.0,0.0
2024-01-17 15:26:00,long,265.5,33,0.0,8761.5,807260,183332,6727.17,18333.2
2024-01-18 15:26:00,short,260.5,31,0.0,8075.5,328086,110368,2734.05,11036.8
2024-01-18 09:52:00,close,253.01,39,78.25,9867.25,0,0,0.0,0.0
2024-01-18 15:29:00,close,260.65,31,-4.65,8080.15,0,0,0.0,0.0
2024-01-19 15:26:00,short,276.6,33,0.0,9127.8,3540520,653126,29504.33,65312.6
2024-01-19 15:29:00,close,276.95,33,-11.55,9139.35,0,0,0.0,0.0
2024-01-23 15:26:00,long,283.2,32,0.0,9062.4,2469114,617468,20575.95,61746.8
2024-01-23 09:21:00,close,305.69,33,1326.3,10087.8,0,0,0.0,0.0
2024-01-24 15:26:00,long,289.4,31,0.0,8971.4,1388432,253042,11570.27,25304.2
2024-01-29 15:26:00,short,360.2,23,0.0,8284.6,6602406,1389762,55020.05,138976.2
2024-01-29 15:29:00,close,360.95,23,-17.25,8301.85,0,0,0.0,0.0
2024-01-30 15:26:00,long,361.75,23,0.0,8320.25,2879546,900642,23996.22,90064.2
2024-01-30 10:13:00,close,355.26,32,2305.92,11368.32,0,0,0.0,0.0
2024-01-30 10:13:00,close,355.26,31,2041.66,11013.06,0,0,0.0,0.0
2024-01-31 15:26:00,short,371.5,26,0.0,9659.0,3421588,763794,28513.23,76379.4
2024-01-31 15:29:00,close,371.75,26,-6.5,9665.5,0,0,0.0,0.0
2024-02-01 15:26:00,long,351.3,27,0.0,9485.1,2110100,991818,17584.17,99181.8
2024-02-01 10:32:00,close,356.19,23,-127.88,8192.37,0,0,0.0,0.0
2024-02-02 15:26:00,short,355.0,27,0.0,9585.0,4019004,1838490,33491.7,183849.0
2024-02-02 10:30:00,close,327.27,27,-648.89,8836.21,0,0,0.0,0.0
2024-02-02 15:29:00,close,355.0,27,0.0,9585.0,0,0,0.0,0.0
2024-02-06 15:26:00,long,381.45,27,0.0,10299.15,1876996,476044,15641.63,47604.4
2024-02-08 15:26:00,short,399.4,23,0.0,9186.2,1514162,618184,12618.02,61818.4
2024-02-08 15:29:00,close,400.6,23,-27.6,9213.8,0,0,0.0,0.0
2024-02-09 09:41:00,close,381.76,27,8.5,10307.65,0,0,0.0,0.0
2024-02-12 15:26:00,short,345.1,30,0.0,10353.0,2271508,841242,18929.23,84124.2
2024-02-12 15:29:00,close,346.5,30,-42.0,10395.0,0,0,0.0,0.0
2024-02-13 15:26:00,short,352.4,29,0.0,10219.6,1295048,351444,10792.07,35144.4
2024-02-13 15:29:00,close,352.6,29,-5.8,10225.4,0,0,0.0,0.0
2024-02-14 15:26:00,long,376.25,27,0.0,10158.75,2015778,459384,16798.15,45938.4
2024-02-15 15:26:00,long,387.7,24,0.0,9304.8,1474222,366860,12285.18,36686.0
2024-02-16 15:26:00,short,378.5,22,0.0,8327.0,1024582,399992,8538.18,39999.2
2024-02-16 15:29:00,close,377.5,22,22.0,8305.0,0,0,0.0,0.0
2024-02-19 15:26:00,long,376.55,22,0.0,8284.1,684466,238266,5703.88,23826.6
2024-02-20 15:26:00,long,372.5,20,0.0,7450.0,735230,308654,6126.92,30865.4
2024-02-21 15:26:00,long,364.75,19,0.0,6930.25,1470378,281054,12253.15,28105.4
2024-02-21 14:40:00,close,365.02,27,-303.08,9855.67,0,0,0.0,0.0
2024-02-21 14:40:00,close,365.02,24,-544.2,8760.6,0,0,0.0,0.0
2024-02-22 15:26:00,long,375.0,21,0.0,7875.0,700418,184878,5836.82,18487.8
2024-02-23 15:26:00,short,379.2,19,0.0,7204.8,815874,298308,6798.95,29830.8
2024-02-23 15:29:00,close,378.5,19,13.3,7191.5,0,0,0.0,0.0
2024-02-28 15:26:00,long,381.15,19,0.0,7241.85,1673176,344896,13943.13,34489.6
2024-02-28 10:59:00,close,384.09,22,165.88,8449.98,0,0,0.0,0.0
2024-02-28 10:59:00,close,384.09,20,231.8,7681.8,0,0,0.0,0.0
2024-02-28 10:59:00,close,384.09,19,367.46,7297.71,0,0,0.0,0.0
2024-02-28 10:59:00,close,384.09,21,190.89,8065.89,0,0,0.0,0.0
2024-02-29 15:26:00,long,397.3,24,0.0,9535.2,1758016,758708,14650.13,75870.8
2024-03-01 15:26:00,short,392.25,22,0.0,8629.5,941626,358478,7846.88,35847.8
2024-03-01 15:29:00,close,392.25,22,0.0,8629.5,0,0,0.0,0.0
2024-03-04 15:26:00,long,382.2,23,0.0,8790.6,781962,306888,6516.35,30688.8
2024-03-05 15:26:00,short,383.9,20,0.0,7678.0,1015560,220496,8463.0,22049.6
2024-03-05 15:29:00,close,382.0,20,38.0,7640.0,0,0,0.0,0.0
2024-03-06 15:26:00,long,368.85,21,0.0,7745.85,730808,281800,6090.07,28180.0
2024-03-06 09:58:00,close,374.32,19,-129.67,7112.18,0,0,0.0,0.0
2024-03-06 09:58:00,close,374.32,24,-551.4,8983.8,0,0,0.0,0.0
2024-03-07 15:26:00,short,368.5,23,0.0,8475.5,357832,143560,2981.93,14356.0
2024-03-07 15:29:00,close,369.4,23,-20.7,8496.2,0,0,0.0,0.0
2024-03-11 15:26:00,long,359.4,24,0.0,8625.6,524644,186524,4372.03,18652.4
2024-03-11 15:02:00,close,361.03,23,-487.0,8303.6,0,0,0.0,0.0
2024-03-12 15:26:00,long,346.8,25,0.0,8670.0,715832,284162,5965.27,28416.2
2024-03-12 09:31:00,close,349.87,21,-398.66,7347.19,0,0,0.0,0.0
2024-03-13 09:32:00,close,337.59,24,-523.44,8102.16,0,0,0.0,0.0
2024-03-13 11:00:00,close,323.59,25,-580.16,8089.84,0,0,0.0,0.0
2024-03-22 15:26:00,long,327.5,31,0.0,10152.5,970532,201522,8087.77,20152.2
2024-03-26 15:26:00,long,328.0,28,0.0,9184.0,603254,250746,5027.12,25074.6
2024-03-27 15:26:00,short,332.1,25,0.0,8302.5,1171204,240972,9760.03,24097.2
2024-03-27 15:29:00,close,332.2,25,-2.5,8305.0,0,0,0.0,0.0
2024-03-28 15:26:00,long,332.2,25,0.0,8305.0,563514,180868,4695.95,18086.8
2024-04-01 15:26:00,short,344.2,21,0.0,7228.2,990438,264976,8253.65,26497.6
2024-04-01 15:29:00,close,344.5,21,-6.3,7234.5,0,0,0.0,0.0
2024-04-02 15:26:00,short,345.55,21,0.0,7256.55,1319628,249814,10996.9,24981.4
2024-04-02 15:29:00,close,345.6,21,-1.05,7257.6,0,0,0.0,0.0
2024-04-03 15:26:00,long,353.5,21,0.0,7423.5,508660,244100,4238.83,24410.0
2024-04-04 15:26:00,short,346.6,19,0.0,6585.4,464860,257318,3873.83,25731.8
2024-04-04 15:29:00,close,347.3,19,-13.3,6598.7,0,0,0.0,0.0
2024-04-05 15:26:00,short,350.5,19,0.0,6659.5,603378,110912,5028.15,11091.2
2024-04-05 15:29:00,close,349.0,19,28.5,6631.0,0,0,0.0,0.0
2024-04-08 15:26:00,short,346.75,19,0.0,6588.25,421964,193538,3516.37,19353.8
2024-04-08 15:29:00,close,347.25,19,-9.5,6597.75,0,0,0.0,0.0
2024-04-09 15:26:00,short,342.8,19,0.0,6513.2,414840,120394,3457.0,12039.4
2024-04-09 15:29:00,close,344.0,19,-22.8,6536.0,0,0,0.0,0.0
2024-04-10 15:26:00,long,341.0,19,0.0,6479.0,260228,100556,2168.57,10055.6
2024-04-12 15:26:00,long,347.7,17,0.0,5910.9,638678,215950,5322.32,21595.0
2024-04-15 15:26:00,long,332.85,16,0.0,5325.6,534720,154520,4456.0,15452.0
2024-04-15 09:15:00,close,330.0,31,77.5,10230.0,0,0,0.0,0.0
2024-04-15 09:15:00,close,330.0,28,56.0,9240.0,0,0,0.0,0.0
2024-04-15 09:15:00,close,330.0,25,-55.0,8250.0,0,0,0.0,0.0
2024-04-15 09:15:00,close,330.0,21,-493.5,6930.0,0,0,0.0,0.0
2024-04-15 09:21:00,close,326.15,19,-282.13,6196.87,0,0,0.0,0.0
2024-04-16 15:26:00,long,330.75,27,0.0,8930.25,372556,114230,3104.63,11423.0
2024-04-18 15:26:00,short,327.0,24,0.0,7848.0,415588,206906,3463.23,20690.6
2024-04-18 15:29:00,close,328.45,24,-34.8,7882.8,0,0,0.0,0.0
2024-04-19 15:26:00,long,323.05,25,0.0,8076.25,381470,108896,3178.92,10889.6
2024-04-19 09:15:00,close,323.73,17,-407.44,5503.46,0,0,0.0,0.0
2024-04-22 15:26:00,long,332.7,23,0.0,7652.1,408060,97824,3400.5,9782.4
2024-04-25 15:26:00,long,343.0,20,0.0,6860.0,364218,130340,3035.15,13034.0
2024-04-29 15:26:00,long,343.3,18,0.0,6179.4,266316,140126,2219.3,14012.6
2024-04-30 15:26:00,short,341.0,17,0.0,5797.0,1111684,269594,9264.03,26959.4
2024-04-30 15:29:00,close,341.5,17,-8.5,5805.5,0,0,0.0,0.0
2024-05-02 15:26:00,long,354.2,16,0.0,5667.2,830672,273986,6922.27,27398.6
2024-05-03 15:26:00,long,346.5,15,0.0,5197.5,575616,113630,4796.8,11363.0
2024-05-06 15:26:00,short,336.5,14,0.0,4711.0,459644,111174,3830.37,11117.4
2024-05-06 15:29:00,close,337.5,14,-14.0,4725.0,0,0,0.0,0.0
2024-05-07 15:26:00,short,327.5,14,0.0,4585.0,328730,205626,2739.42,20562.6
2024-05-07 11:25:00,close,331.82,16,-16.42,5309.18,0,0,0.0,0.0
2024-05-07 11:25:00,close,331.82,27,29.0,8959.25,0,0,0.0,0.0
2024-05-07 11:25:00,close,331.82,25,219.35,8295.6,0,0,0.0,0.0
2024-05-07 11:25:00,close,331.82,23,-20.15,7631.95,0,0,0.0,0.0
2024-05-07 11:25:00,close,331.82,20,-223.52,6636.48,0,0,0.0,0.0
2024-05-07 11:25:00,close,331.82,18,-206.57,5972.83,0,0,0.0,0.0
2024-05-07 11:25:00,close,331.08,16,-369.92,5297.28,0,0,0.0,0.0
2024-05-07 15:29:00,close,328.0,14,-7.0,4592.0,0,0,0.0,0.0
2024-05-08 15:26:00,long,332.35,28,0.0,9305.8,226514,68394,1887.62,6839.4
2024-05-08 09:15:00,close,323.92,15,-338.72,4858.78,0,0,0.0,0.0
2024-05-09 15:26:00,long,318.4,28,0.0,8915.2,317506,93236,2645.88,9323.6
2024-05-10 15:26:00,long,322.3,25,0.0,8057.5,219502,65048,1829.18,6504.8
2024-05-13 15:26:00,long,319.4,23,0.0,7346.2,177508,34892,1479.23,3489.2
2024-05-14 15:26:00,long,336.2,19,0.0,6387.8,560320,185882,4669.33,18588.2
2024-05-15 15:26:00,long,331.5,18,0.0,5967.0,284908,87968,2374.23,8796.8
2024-05-16 15:26:00,long,331.4,16,0.0,5302.4,459576,136368,3829.8,13636.8
2024-05-21 15:26:00,short,369.9,13,0.0,4808.7,1580484,290864,13170.7,29086.4
2024-05-21 15:29:00,close,369.6,13,3.9,4804.8,0,0,0.0,0.0
2024-05-22 15:26:00,short,366.0,13,0.0,4758.0,453556,179184,3779.63,17918.4
2024-05-22 15:29:00,close,365.95,13,0.65,4757.35,0,0,0.0,0.0
2024-05-23 15:26:00,long,375.4,13,0.0,4880.2,830400,274276,6920.0,27427.6
2024-05-24 15:26:00,long,367.35,12,0.0,4408.2,569800,100246,4748.33,10024.6
2024-05-27 15:26:00,long,367.5,10,0.0,3675.0,485138,122954,4042.82,12295.4
