TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-04 15:26:00,long,1893.9,5,0.0,9469.5,89675,26783,747.29,2678.3
2024-01-05 09:18:00,close,1887.58,5,-31.58,9437.92,0,0,0.0,0.0
2024-01-10 15:26:00,long,1814.25,5,0.0,9071.25,28544,9618,237.87,961.8
2024-01-11 09:56:00,close,1805.76,5,-42.45,9028.8,0,0,0.0,0.0
2024-01-25 15:26:00,long,1846.7,5,0.0,9233.5,72405,19251,603.38,1925.1
2024-01-29 15:26:00,short,1797.8,5,0.0,8989.0,46109,55328,384.24,5532.8
2024-01-29 09:15:00,close,1832.49,5,-71.05,9162.45,0,0,0.0,0.0
2024-01-29 15:29:00,close,1801.0,5,-16.0,9005.0,0,0,0.0,0.0
2024-02-01 15:26:00,long,1804.55,5,0.0,9022.75,25000,8740,208.33,874.0
2024-02-02 15:26:00,long,1848.75,4,0.0,7395.0,23586,9700,196.55,970.0
2024-02-05 15:26:00,short,1775.1,4,0.0,7100.4,53724,22497,447.7,2249.7
2024-02-05 09:22:00,close,1844.17,5,198.11,9220.86,0,0,0.0,0.0
2024-02-05 09:22:00,close,1844.17,4,-18.31,7376.69,0,0,0.0,0.0
2024-02-05 15:29:00,close,1774.6,4,2.0,7098.4,0,0,0.0,0.0
2024-02-08 15:26:00,short,1759.9,5,0.0,8799.5,37122,14414,309.35,1441.4
2024-02-08 15:28:00,close,1765.48,5,-27.9,8827.4,0,0,0.0,0.0
2024-02-14 15:26:00,long,1738.05,5,0.0,8690.25,22914,20278,190.95,2027.8
2024-02-15 15:26:00,short,1761.05,5,0.0,8805.25,15092,10288,125.77,1028.8
2024-02-15 09:55:00,close,1731.96,5,-30.47,8659.78,0,0,0.0,0.0
2024-02-15 15:29:00,close,1761.9,5,-4.25,8809.5,0,0,0.0,0.0
2024-02-16 15:26:00,long,1737.95,5,0.0,8689.75,65172,20713,543.1,2071.3
2024-02-19 10:01:00,close,1747.35,5,47.0,8736.75,0,0,0.0,0.0
2024-02-20 15:26:00,long,1732.0,5,0.0,8660.0,17287,6646,144.06,664.6
2024-02-21 14:00:00,close,1724.58,5,-37.1,8622.9,0,0,0.0,0.0
2024-02-22 15:26:00,long,1734.25,5,0.0,8671.25,21975,8969,183.12,896.9
2024-02-23 15:26:00,long,1715.75,5,0.0,8578.75,15951,13545,132.93,1354.5
2024-02-23 10:27:00,close,1719.53,5,-73.59,8597.66,0,0,0.0,0.0
2024-02-26 15:26:00,long,1707.8,5,0.0,8539.0,44568,11842,371.4,1184.2
2024-02-26 09:50:00,close,1708.99,5,-33.81,8544.94,0,0,0.0,0.0
2024-02-27 09:15:00,close,1697.26,5,-52.72,8486.28,0,0,0.0,0.0
2024-03-06 15:26:00,long,1718.15,5,0.0,8590.75,60302,25609,502.52,2560.9
2024-03-07 09:15:00,close,1707.75,5,-52.0,8538.75,0,0,0.0,0.0
2024-03-11 15:26:00,long,1701.85,5,0.0,8509.25,38743,43897,322.86,4389.7
2024-03-12 09:16:00,close,1698.05,5,-19.01,8490.24,0,0,0.0,0.0
2024-03-13 15:26:00,long,1689.7,5,0.0,8448.5,85543,25155,712.86,2515.5
2024-03-14 15:26:00,short,1720.6,5,0.0,8603.0,39495,11295,329.12,1129.5
2024-03-14 09:15:00,close,1678.79,5,-54.54,8393.96,0,0,0.0,0.0
2024-03-14 15:29:00,close,1725.15,5,-22.75,8625.75,0,0,0.0,0.0
2024-03-20 15:26:00,long,1710.15,5,0.0,8550.75,81137,23406,676.14,2340.6
2024-03-21 15:26:00,long,1721.05,5,0.0,8605.25,31667,13280,263.89,1328.0
2024-03-21 09:16:00,close,1705.67,5,-22.4,8528.36,0,0,0.0,0.0
2024-03-22 12:16:00,close,1720.12,5,-4.62,8600.62,0,0,0.0,0.0
2024-03-27 15:26:00,short,1696.15,5,0.0,8480.75,77431,29676,645.26,2967.6
2024-03-27 15:29:00,close,1700.0,5,-19.25,8500.0,0,0,0.0,0.0
2024-03-28 15:26:00,short,1742.05,5,0.0,8710.25,55839,21055,465.32,2105.5
2024-03-28 15:29:00,close,1744.6,5,-12.75,8723.0,0,0,0.0,0.0
2024-04-01 15:26:00,short,1779.7,5,0.0,8898.5,57129,22821,476.08,2282.1
2024-04-01 15:29:00,close,1781.85,5,-10.75,8909.25,0,0,0.0,0.0
2024-04-05 15:26:00,short,1806.0,5,0.0,9030.0,99785,35452,831.54,3545.2
2024-04-05 15:29:00,close,1810.0,5,-20.0,9050.0,0,0,0.0,0.0
2024-04-15 15:26:00,long,1851.45,5,0.0,9257.25,64106,19572,534.22,1957.2
2024-04-16 15:26:00,short,1854.6,4,0.0,7418.4,44498,19770,370.82,1977.0
2024-04-16 10:18:00,close,1836.94,5,-72.52,9184.72,0,0,0.0,0.0
2024-04-16 15:29:00,close,1857.0,4,-9.6,7428.0,0,0,0.0,0.0
2024-04-18 15:26:00,long,1845.65,5,0.0,9228.25,39579,12431,329.82,1243.1
2024-04-19 15:26:00,short,1834.3,4,0.0,7337.2,29518,9502,245.98,950.2
2024-04-19 09:15:00,close,1833.18,5,-62.33,9165.92,0,0,0.0,0.0
2024-04-19 15:29:00,close,1831.0,4,13.2,7324.0,0,0,0.0,0.0
2024-04-22 15:26:00,long,1852.8,5,0.0,9264.0,36269,13776,302.24,1377.6
2024-04-23 09:48:00,close,1844.52,5,-41.41,9222.59,0,0,0.0,0.0
2024-04-26 15:26:00,long,2048.0,4,0.0,8192.0,37439,16489,311.99,1648.9
2024-04-29 09:15:00,close,2039.3,4,-34.8,8157.2,0,0,0.0,0.0
2024-05-02 15:26:00,long,2054.9,4,0.0,8219.6,50306,22766,419.22,2276.6
2024-05-03 11:36:00,close,2049.84,4,-20.22,8199.38,0,0,0.0,0.0
