EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-04 15:26:00,short,411.55,24,9877,closed,2024-01-04 15:29:00,411.25,7.2,0.07
2024-01-08 15:26:00,short,402.3,24,9655,closed,2024-01-08 15:29:00,402.5,-4.8,-0.05
2024-01-11 15:26:00,long,401.0,24,9624,closed,2024-01-25 12:29:00,391.92,-217.86,-2.26
2024-01-29 15:26:00,short,387.8,25,9695,closed,2024-01-29 15:29:00,387.75,1.25,0.01
2024-02-29 15:26:00,long,352.2,28,9862,closed,2024-03-15 15:27:00,359.91,215.81,2.19
2024-03-04 15:26:00,long,354.5,25,8862,closed,2024-03-15 15:27:00,359.91,135.19,1.53
2024-03-14 15:26:00,short,361.95,22,7963,closed,2024-03-14 15:29:00,362.35,-8.8,-0.11
2024-03-15 15:26:00,short,361.2,22,7946,closed,2024-03-15 15:29:00,360.65,12.1,0.15
2024-03-22 15:26:00,long,370.55,27,10005,closed,2024-05-09 14:58:00,366.46,-110.36,-1.1
2024-03-26 15:26:00,long,370.15,24,8884,closed,2024-05-09 14:58:00,366.46,-88.5,-1.0
2024-03-27 15:26:00,long,370.2,21,7774,closed,2024-05-09 14:58:00,366.46,-78.49,-1.01
2024-04-15 15:26:00,short,368.25,19,6997,closed,2024-04-15 15:29:00,368.05,3.8,0.05
2024-04-22 15:26:00,long,368.05,19,6993,closed,2024-05-09 14:58:00,366.46,-30.16,-0.43
2024-04-24 15:26:00,short,370.95,17,6306,closed,2024-04-24 15:29:00,371.4,-7.65,-0.12
2024-04-30 15:26:00,short,377.05,17,6410,closed,2024-04-30 15:29:00,376.55,8.5,0.13
2024-05-14 15:26:00,long,371.7,26,9664,closed,2024-05-30 13:35:00,365.56,-159.64,-1.65
2024-05-31 15:26:00,short,369.85,26,9616,closed,2024-05-31 15:29:00,369.3,14.3,0.15
2024-06-06 15:26:00,short,376.85,26,9798,closed,2024-06-06 15:29:00,377.45,-15.6,-0.16
2024-06-10 15:26:00,short,377.85,26,9824,closed,2024-06-10 15:29:00,377.85,0.0,0.0
2024-06-13 15:26:00,short,371.8,26,9667,closed,2024-06-13 15:29:00,372.2,-10.4,-0.11
2024-06-26 15:26:00,short,366.2,27,9887,closed,2024-06-26 15:29:00,366.3,-2.7,-0.03
2024-06-27 15:26:00,short,369.15,26,9598,closed,2024-06-27 15:29:00,368.1,27.3,0.28
2024-07-01 15:26:00,short,371.05,26,9647,closed,2024-07-01 15:29:00,370.6,11.7,0.12
2024-07-03 15:26:00,long,370.6,26,9636,closed,2024-07-25 11:09:00,419.57,1273.15,13.21
2024-07-08 15:26:00,long,383.8,23,8827,closed,2024-07-25 11:09:00,419.57,822.65,9.32
2024-07-16 15:26:00,long,402.65,20,8053,closed,2024-07-25 11:09:00,419.57,338.35,4.2
2024-07-23 15:26:00,long,428.75,17,7289,closed,2024-07-25 11:09:00,419.57,-156.1,-2.14
2024-07-24 15:26:00,long,427.8,15,6417,closed,2024-08-05 09:15:00,415.2,-189.0,-2.95
2024-08-02 15:26:00,long,423.45,22,9316,closed,2024-10-04 13:05:00,434.24,237.49,2.55
2024-08-08 15:26:00,short,427.5,21,8978,closed,2024-08-08 15:29:00,427.5,0.0,0.0
2024-08-14 15:26:00,short,425.45,21,8934,closed,2024-08-14 15:29:00,426.0,-11.55,-0.13
2024-08-19 15:26:00,short,432.45,21,9081,closed,2024-08-19 15:29:00,432.45,0.0,0.0
2024-08-20 15:26:00,long,431.2,21,9055,closed,2024-10-04 13:05:00,434.24,63.95,0.71
2024-08-23 15:26:00,short,437.5,19,8312,closed,2024-08-23 15:29:00,437.15,6.65,0.08
2024-08-30 15:26:00,long,434.6,19,8257,closed,2024-10-04 13:05:00,434.24,-6.75,-0.08
2024-09-04 15:26:00,short,437.95,17,7445,closed,2024-09-04 15:29:00,438.9,-16.15,-0.22
2024-09-05 15:26:00,long,442.55,16,7081,closed,2024-10-04 13:05:00,434.24,-132.88,-1.88
2024-09-11 15:26:00,short,445.4,15,6681,closed,2024-09-11 15:29:00,443.8,24.0,0.36
2024-09-27 15:26:00,short,451.45,15,6772,closed,2024-09-27 15:29:00,451.05,6.0,0.09
2024-09-30 15:26:00,short,448.2,15,6723,closed,2024-09-30 15:29:00,448.25,-0.75,-0.01
2024-10-03 15:26:00,long,444.5,15,6668,closed,2024-10-09 15:02:00,425.08,-291.34,-4.37
2024-10-08 15:26:00,short,439.75,21,9235,closed,2024-10-08 15:29:00,439.8,-1.05,-0.01
2024-10-11 15:26:00,long,422.6,24,10142,closed,2024-10-24 10:36:00,410.35,-293.94,-2.9
2024-10-18 15:26:00,long,421.15,21,8844,closed,2024-11-13 09:27:00,405.51,-328.49,-3.71
2024-10-30 15:26:00,short,425.35,21,8932,closed,2024-10-30 15:29:00,425.35,0.0,0.0
2024-10-31 15:26:00,long,423.0,21,8883,closed,2024-11-13 09:27:00,405.46,-368.34,-4.15
2024-11-25 15:26:00,short,413.3,24,9919,closed,2024-11-25 15:29:00,413.55,-6.0,-0.06
2024-12-03 15:26:00,short,408.2,24,9797,closed,2024-12-03 15:29:00,408.7,-12.0,-0.12
2024-12-04 15:26:00,short,403.85,24,9692,closed,2024-12-04 15:29:00,404.1,-6.0,-0.06
2024-12-10 15:26:00,short,402.9,24,9670,closed,2024-12-10 15:29:00,402.5,9.6,0.1
2024-12-20 15:26:00,long,402.15,25,10054,open,,0.0,0.0,0.0
