EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,long,1470.4,6,8822,closed,2024-03-20 14:56:00,1578.54,648.81,7.35
2024-01-04 15:26:00,long,1419.65,6,8518,closed,2024-03-20 14:56:00,1578.54,953.31,11.19
2024-01-08 15:26:00,short,1446.25,5,7231,closed,2024-01-08 15:29:00,1439.9,31.75,0.44
2024-01-12 15:26:00,long,1546.95,5,7735,closed,2024-03-20 14:56:00,1578.54,157.93,2.04
2024-01-16 15:26:00,long,1557.15,4,6229,closed,2024-03-20 14:56:00,1578.54,85.54,1.37
2024-01-18 15:26:00,long,1569.15,4,6277,closed,2024-03-20 14:56:00,1578.54,37.54,0.6
2024-01-25 15:26:00,long,1549.8,4,6199,closed,2024-03-20 14:56:00,1578.54,114.94,1.85
2024-01-30 15:26:00,short,1558.95,3,4677,closed,2024-01-30 15:29:00,1559.8,-2.55,-0.05
2024-01-31 15:26:00,short,1573.9,3,4722,closed,2024-01-31 15:29:00,1570.8,9.3,0.2
2024-02-01 15:26:00,short,1578.85,3,4737,closed,2024-02-01 15:29:00,1578.0,2.55,0.05
2024-02-05 15:26:00,short,1552.5,3,4658,closed,2024-02-05 15:29:00,1555.1,-7.8,-0.17
2024-02-08 15:26:00,long,1633.25,3,4900,closed,2024-03-20 14:56:00,1578.54,-164.14,-3.35
2024-02-14 15:26:00,long,1675.0,3,5025,closed,2024-03-20 14:56:00,1578.54,-289.39,-5.76
2024-02-16 15:26:00,short,1666.65,2,3333,closed,2024-02-16 15:29:00,1670.0,-6.7,-0.2
2024-02-19 15:26:00,short,1674.5,2,3349,closed,2024-02-19 15:29:00,1675.0,-1.0,-0.03
2024-02-20 15:26:00,short,1660.25,2,3320,closed,2024-02-20 15:29:00,1660.0,0.5,0.02
2024-02-22 15:26:00,long,1688.25,2,3376,closed,2024-03-20 14:56:00,1578.54,-219.43,-6.5
2024-02-23 15:26:00,short,1664.85,2,3330,closed,2024-02-23 15:29:00,1664.35,1.0,0.03
2024-02-27 15:26:00,short,1656.65,2,3313,closed,2024-02-27 15:29:00,1659.25,-5.2,-0.16
2024-02-29 15:26:00,long,1674.65,2,3349,closed,2024-03-22 09:15:00,1560.0,-229.3,-6.85
2024-03-01 15:26:00,long,1645.6,2,3291,closed,2024-03-22 09:15:00,1560.0,-171.2,-5.2
