EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,long,3784.4,2,7569,closed,2024-03-21 12:10:00,3956.92,345.03,4.56
2024-01-04 15:26:00,long,3666.2,2,7332,closed,2024-03-21 12:10:00,3956.92,581.43,7.93
2024-01-12 15:26:00,short,3883.85,2,7768,closed,2024-01-12 15:29:00,3881.9,3.9,0.05
2024-01-16 15:26:00,short,3859.7,2,7719,closed,2024-01-16 15:29:00,3860.4,-1.4,-0.02
2024-01-30 15:26:00,long,3804.6,2,7609,closed,2024-03-21 12:10:00,3956.92,304.63,4.0
2024-01-31 15:26:00,short,3815.0,2,7630,closed,2024-01-31 15:29:00,3804.0,22.0,0.29
2024-02-29 15:26:00,long,4109.65,1,4110,closed,2024-03-21 12:10:00,3956.92,-152.73,-3.72
2024-03-04 15:26:00,long,4078.55,1,4079,closed,2024-03-21 12:10:00,3956.92,-121.63,-2.98
2024-03-11 15:26:00,long,4123.6,1,4124,closed,2024-03-21 12:10:00,3956.92,-166.68,-4.04
2024-03-12 15:26:00,long,4195.0,1,4195,closed,2024-03-21 12:10:00,3956.92,-238.08,-5.68
2024-03-13 15:26:00,short,4136.5,1,4136,closed,2024-03-13 15:29:00,4139.0,-2.5,-0.06
2024-03-15 15:26:00,long,4227.0,1,4227,closed,2024-03-21 12:10:00,3956.92,-270.08,-6.39
2024-03-21 15:26:00,long,3982.95,1,3983,closed,2024-05-02 09:15:00,3778.05,-204.9,-5.14
2024-03-26 15:26:00,short,3875.45,2,7751,closed,2024-03-26 15:29:00,3883.0,-15.1,-0.19
2024-03-27 15:26:00,short,3845.8,2,7692,closed,2024-03-27 15:29:00,3853.55,-15.5,-0.2
2024-04-10 15:26:00,long,3980.4,2,7961,closed,2024-05-02 09:15:00,3778.05,-404.7,-5.08
2024-04-23 15:26:00,long,3877.5,2,7755,closed,2024-05-31 10:00:00,3708.84,-337.32,-4.35
2024-04-24 15:26:00,long,3832.15,2,7664,closed,2024-05-31 10:00:00,3708.84,-246.62,-3.22
2024-04-25 15:26:00,long,3851.5,1,3852,closed,2024-05-31 10:00:00,3708.84,-142.66,-3.7
2024-04-26 15:26:00,long,3830.0,1,3830,closed,2024-05-31 10:00:00,3708.84,-121.16,-3.16
2024-04-29 15:26:00,short,3871.3,1,3871,closed,2024-04-29 15:29:00,3865.0,6.3,0.16
2024-04-30 15:26:00,short,3814.85,1,3815,closed,2024-04-30 15:29:00,3823.95,-9.1,-0.24
2024-05-13 15:26:00,long,3952.65,1,3953,closed,2024-05-31 14:53:00,3675.96,-276.69,-7.0
2024-05-14 15:26:00,short,3901.6,1,3902,closed,2024-05-14 15:29:00,3902.0,-0.4,-0.01
2024-05-15 15:26:00,long,3879.4,1,3879,closed,2024-06-04 12:11:00,3645.6,-233.8,-6.03
2024-05-21 15:26:00,long,3822.65,1,3823,closed,2024-06-04 12:12:00,3634.77,-187.88,-4.92
2024-05-22 15:26:00,long,3831.15,1,3831,closed,2024-06-04 12:12:00,3634.77,-196.38,-5.13
2024-05-24 15:26:00,long,3851.35,1,3851,closed,2024-06-04 12:12:00,3634.77,-216.58,-5.62
2024-05-28 15:26:00,short,3835.2,1,3835,closed,2024-05-28 15:29:00,3836.9,-1.7,-0.04
2024-05-29 15:26:00,long,3804.0,1,3804,closed,2024-08-05 11:18:00,4120.83,316.83,8.33
2024-05-31 15:26:00,short,3677.45,1,3677,closed,2024-05-31 15:29:00,3691.15,-13.7,-0.37
2024-06-03 15:26:00,short,3704.05,2,7408,closed,2024-06-03 15:29:00,3706.0,-3.9,-0.05
2024-06-10 15:26:00,short,3855.95,2,7712,closed,2024-06-10 15:29:00,3859.0,-6.1,-0.08
2024-06-11 15:26:00,short,3846.45,2,7693,closed,2024-06-11 15:29:00,3855.4,-17.9,-0.23
2024-06-18 15:26:00,long,3815.5,2,7631,closed,2024-08-05 11:18:00,4120.83,610.66,8.0
2024-06-21 15:26:00,long,3803.95,2,7608,closed,2024-08-05 11:18:00,4120.83,633.76,8.33
2024-06-24 15:26:00,long,3814.15,2,7628,closed,2024-08-05 11:18:00,4120.83,613.36,8.04
2024-06-28 15:26:00,long,3900.6,1,3901,closed,2024-08-05 11:18:00,4120.83,220.23,5.65
2024-07-03 15:26:00,long,3970.2,1,3970,closed,2024-08-05 11:18:00,4120.83,150.63,3.79
2024-07-11 15:26:00,short,3922.0,1,3922,closed,2024-07-11 15:29:00,3902.0,20.0,0.51
2024-07-24 15:26:00,short,4300.35,1,4300,closed,2024-07-24 15:29:00,4303.8,-3.45,-0.08
2024-07-29 15:26:00,long,4385.0,1,4385,closed,2024-09-20 10:13:00,4270.79,-114.21,-2.6
2024-07-30 15:26:00,short,4363.05,1,4363,closed,2024-07-30 15:29:00,4372.0,-8.95,-0.21
2024-07-31 15:26:00,long,4388.0,1,4388,closed,2024-09-20 10:13:00,4270.79,-117.21,-2.67
2024-08-06 15:26:00,long,4173.9,2,8348,closed,2024-09-20 10:13:00,4270.79,193.78,2.32
2024-08-07 15:26:00,long,4202.85,1,4203,closed,2024-09-20 10:13:00,4270.79,67.94,1.62
2024-08-09 15:26:00,short,4221.35,1,4221,closed,2024-08-09 15:29:00,4220.0,1.35,0.03
2024-08-13 15:26:00,short,4193.6,1,4194,closed,2024-08-13 15:29:00,4197.0,-3.4,-0.08
2024-08-14 15:26:00,long,4298.65,1,4299,closed,2024-09-20 10:13:00,4270.79,-27.86,-0.65
2024-08-19 15:26:00,short,4490.05,1,4490,closed,2024-08-19 15:29:00,4490.0,0.05,0.0
2024-08-20 15:26:00,short,4514.85,1,4515,closed,2024-08-20 15:29:00,4505.0,9.85,0.22
2024-08-27 15:26:00,short,4495.8,1,4496,closed,2024-08-27 15:29:00,4491.0,4.8,0.11
2024-08-30 15:26:00,short,4561.55,1,4562,closed,2024-08-30 15:29:00,4562.6,-1.05,-0.02
2024-09-02 15:26:00,short,4516.75,1,4517,closed,2024-09-02 15:29:00,4526.35,-9.6,-0.21
2024-09-04 15:26:00,short,4480.5,1,4480,closed,2024-09-04 15:29:00,4484.0,-3.5,-0.08
2024-09-09 15:26:00,short,4451.3,1,4451,closed,2024-09-09 15:29:00,4456.0,-4.7,-0.11
2024-09-11 15:26:00,long,4481.65,1,4482,closed,2024-09-20 13:37:00,4228.71,-252.94,-5.64
2024-09-16 15:26:00,long,4513.15,1,4513,closed,2024-10-03 11:47:00,4218.29,-294.86,-6.53
2024-09-25 15:26:00,short,4273.45,2,8547,closed,2024-09-25 15:29:00,4275.35,-3.8,-0.04
2024-09-27 15:26:00,long,4305.3,2,8611,closed,2024-10-22 15:14:00,4007.37,-595.86,-6.92
2024-09-30 15:26:00,long,4266.3,2,8533,closed,2024-10-23 09:15:00,3997.14,-538.32,-6.31
2024-10-01 15:26:00,long,4291.3,1,4291,closed,2024-10-23 09:15:00,3997.14,-294.16,-6.85
2024-10-09 15:26:00,long,4256.7,1,4257,closed,2024-10-31 10:01:00,3993.28,-263.42,-6.19
2024-10-15 15:26:00,long,4120.0,1,4120,closed,2024-12-20 12:50:00,4180.26,60.26,1.46
2024-10-28 15:26:00,short,4090.1,2,8180,closed,2024-10-28 15:29:00,4090.05,0.1,0.0
2024-10-29 15:26:00,long,4078.6,2,8157,closed,2024-12-20 12:50:00,4180.26,203.31,2.49
2024-10-31 15:26:00,long,3965.05,2,7930,closed,2024-12-20 12:50:00,4180.26,430.41,5.43
2024-11-07 15:26:00,long,4152.1,1,4152,closed,2024-12-20 12:50:00,4180.26,28.16,0.68
2024-11-12 15:26:00,short,4185.95,1,4186,closed,2024-11-12 15:29:00,4180.0,5.95,0.14
2024-11-25 15:26:00,long,4326.25,1,4326,closed,2024-12-20 12:50:00,4180.26,-145.99,-3.37
2024-11-29 15:26:00,long,4266.45,1,4266,closed,2024-12-20 12:50:00,4180.26,-86.19,-2.02
2024-12-09 15:26:00,short,4452.15,1,4452,closed,2024-12-09 15:29:00,4445.6,6.55,0.15
2024-12-10 15:26:00,long,4439.0,1,4439,closed,2024-12-20 12:50:00,4180.26,-258.74,-5.83
2024-12-11 15:26:00,long,4424.7,1,4425,closed,2024-12-20 12:50:00,4180.26,-244.44,-5.52
2024-12-12 15:26:00,long,4459.65,1,4460,closed,2024-12-20 12:50:00,4180.26,-279.39,-6.26
2024-12-13 15:26:00,long,4478.6,1,4479,closed,2024-12-20 13:20:00,4170.03,-308.57,-6.89
2024-12-16 15:26:00,long,4417.9,1,4418,closed,2024-12-23 12:06:00,4122.64,-295.26,-6.68
2024-12-20 15:26:00,long,4169.05,1,4169,open,,0.0,0.0,0.0
2024-12-26 15:26:00,long,4170.6,2,8341,open,,0.0,0.0,0.0
2024-12-30 15:26:00,short,4152.4,2,8305,closed,2024-12-30 15:29:00,4150.0,4.8,0.06
2024-12-31 15:26:00,long,4109.5,2,8219,open,,0.0,0.0,0.0
