TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,8728.0,1,0.0,8728.0,7673,2644,63.94,264.4
2024-01-01 15:29:00,close,8749.0,1,-21.0,8749.0,0,0,0.0,0.0
2024-01-02 15:26:00,long,8719.0,1,0.0,8719.0,10384,5006,86.53,500.6
2024-01-03 15:26:00,short,8601.0,1,0.0,8601.0,14462,5281,120.52,528.1
2024-01-03 15:29:00,close,8602.5,1,-1.5,8602.5,0,0,0.0,0.0
2024-01-04 15:26:00,long,8660.0,1,0.0,8660.0,13766,5388,114.72,538.8
2024-01-18 09:27:00,close,8322.57,1,-396.43,8322.57,0,0,0.0,0.0
2024-01-18 09:27:00,close,8322.57,1,-337.43,8322.57,0,0,0.0,0.0
2024-01-25 15:26:00,short,7649.95,1,0.0,7649.95,38602,21616,321.68,2161.6
2024-01-25 15:29:00,close,7659.0,1,-9.05,7659.0,0,0,0.0,0.0
2024-02-12 15:26:00,short,7480.0,1,0.0,7480.0,20324,9486,169.37,948.6
2024-02-12 15:29:00,close,7485.0,1,-5.0,7485.0,0,0,0.0,0.0
2024-02-13 15:26:00,long,7448.0,1,0.0,7448.0,16602,7693,138.35,769.3
2024-02-15 15:26:00,short,7456.0,1,0.0,7456.0,21210,7199,176.75,719.9
2024-02-15 15:29:00,close,7462.0,1,-6.0,7462.0,0,0,0.0,0.0
2024-02-19 15:26:00,long,7720.35,1,0.0,7720.35,24708,12216,205.9,1221.6
2024-02-23 15:26:00,short,7794.05,1,0.0,7794.05,25124,11433,209.37,1143.3
2024-02-23 15:29:00,close,7810.0,1,-15.95,7810.0,0,0,0.0,0.0
2024-02-26 15:26:00,short,7700.0,1,0.0,7700.0,18593,6918,154.94,691.8
2024-02-26 15:29:00,close,7698.5,1,1.5,7698.5,0,0,0.0,0.0
2024-02-28 15:26:00,short,7582.1,1,0.0,7582.1,16218,5590,135.15,559.0
2024-02-28 15:29:00,close,7586.0,1,-3.9,7586.0,0,0,0.0,0.0
2024-02-29 15:26:00,short,7819.05,1,0.0,7819.05,163874,61563,1365.62,6156.3
2024-02-29 15:29:00,close,7916.4,1,-97.35,7916.4,0,0,0.0,0.0
2024-03-07 15:26:00,long,7684.8,1,0.0,7684.8,39505,40633,329.21,4063.3
2024-03-12 15:26:00,short,7550.0,1,0.0,7550.0,25942,9151,216.18,915.1
2024-03-12 15:29:00,close,7555.0,1,-5.0,7555.0,0,0,0.0,0.0
2024-03-13 15:10:00,close,7435.35,1,-12.65,7435.35,0,0,0.0,0.0
2024-03-13 15:10:00,close,7435.35,1,-285.0,7435.35,0,0,0.0,0.0
2024-03-15 15:26:00,short,7711.0,1,0.0,7711.0,49107,23254,409.22,2325.4
2024-03-15 15:29:00,close,7715.0,1,-4.0,7715.0,0,0,0.0,0.0
2024-03-22 15:26:00,short,7664.9,1,0.0,7664.9,19837,6710,165.31,671.0
2024-03-22 15:29:00,close,7665.0,1,-0.1,7665.0,0,0,0.0,0.0
2024-03-26 15:26:00,short,7720.0,1,0.0,7720.0,41339,16143,344.49,1614.3
2024-03-26 15:29:00,close,7715.0,1,5.0,7715.0,0,0,0.0,0.0
2024-04-02 15:26:00,long,7703.5,1,0.0,7703.5,13738,7503,114.48,750.3
2024-04-10 15:26:00,short,7848.5,1,0.0,7848.5,27681,9667,230.68,966.7
2024-04-10 15:29:00,close,7844.0,1,4.5,7844.0,0,0,0.0,0.0
2024-04-15 09:16:00,close,7621.35,1,-63.45,7621.35,0,0,0.0,0.0
2024-04-15 09:16:00,close,7621.35,1,-82.15,7621.35,0,0,0.0,0.0
2024-04-22 15:26:00,short,7428.15,1,0.0,7428.15,34508,12417,287.57,1241.7
2024-04-22 15:29:00,close,7430.0,1,-1.85,7430.0,0,0,0.0,0.0
2024-04-25 15:26:00,long,7089.1,1,0.0,7089.1,30230,10338,251.92,1033.8
2024-04-30 15:26:00,long,7030.3,1,0.0,7030.3,41468,18434,345.57,1843.4
2024-05-03 15:26:00,short,7109.3,1,0.0,7109.3,17330,6826,144.42,682.6
2024-05-03 15:29:00,close,7110.0,1,-0.7,7110.0,0,0,0.0,0.0
2024-05-08 15:26:00,long,7133.4,1,0.0,7133.4,16608,8083,138.4,808.3
2024-05-13 15:26:00,long,7115.25,1,0.0,7115.25,23405,10384,195.04,1038.4
2024-05-31 15:26:00,long,6923.5,1,0.0,6923.5,260899,121062,2174.16,12106.2
2024-05-31 15:02:00,close,7029.87,1,-59.23,7029.87,0,0,0.0,0.0
2024-05-31 15:02:00,close,7029.87,1,-0.43,7029.87,0,0,0.0,0.0
2024-05-31 15:02:00,close,7029.87,1,-103.53,7029.87,0,0,0.0,0.0
2024-05-31 15:02:00,close,7029.87,1,-85.38,7029.87,0,0,0.0,0.0
2024-06-04 12:18:00,close,6647.64,1,-275.86,6647.64,0,0,0.0,0.0
2024-06-12 15:26:00,short,7119.0,1,0.0,7119.0,15606,7244,130.05,724.4
2024-06-12 15:29:00,close,7143.0,1,-24.0,7143.0,0,0,0.0,0.0
2024-06-13 15:26:00,long,7232.95,1,0.0,7232.95,30727,10600,256.06,1060.0
2024-06-21 15:26:00,long,7102.35,1,0.0,7102.35,54306,29604,452.55,2960.4
2024-06-25 15:26:00,short,7103.25,1,0.0,7103.25,30383,11823,253.19,1182.3
2024-06-25 15:29:00,close,7105.0,1,-1.75,7105.0,0,0,0.0,0.0
2024-06-26 15:26:00,long,7090.1,1,0.0,7090.1,16047,7850,133.72,785.0
2024-06-28 15:26:00,short,6999.0,1,0.0,6999.0,29237,10969,243.64,1096.9
2024-06-28 15:29:00,close,6999.0,1,0.0,6999.0,0,0,0.0,0.0
2024-07-02 15:26:00,long,7059.0,1,0.0,7059.0,15853,5560,132.11,556.0
2024-07-25 12:48:00,close,6858.75,1,-374.2,6858.75,0,0,0.0,0.0
2024-08-05 09:15:00,close,6831.2,1,-271.15,6831.2,0,0,0.0,0.0
2024-08-06 15:14:00,close,6672.75,1,-417.35,6672.75,0,0,0.0,0.0
2024-08-06 15:14:00,close,6672.75,1,-386.25,6672.75,0,0,0.0,0.0
2024-08-08 15:26:00,long,6819.8,1,0.0,6819.8,11941,5160,99.51,516.0
2024-08-26 15:26:00,long,7828.35,1,0.0,7828.35,483599,271523,4029.99,27152.3
2024-08-28 12:01:00,close,8444.4,1,1624.6,8444.4,0,0,0.0,0.0
2024-08-28 12:01:00,close,8444.4,1,616.05,8444.4,0,0,0.0,0.0
2024-08-30 15:26:00,short,7962.05,1,0.0,7962.05,214592,77360,1788.27,7736.0
2024-08-30 15:29:00,close,7965.0,1,-2.95,7965.0,0,0,0.0,0.0
2024-09-02 15:26:00,short,7785.0,1,0.0,7785.0,57264,21098,477.2,2109.8
2024-09-02 15:29:00,close,7778.0,1,7.0,7778.0,0,0,0.0,0.0
2024-09-03 15:26:00,long,7875.0,1,0.0,7875.0,50168,18994,418.07,1899.4
2024-09-04 15:26:00,long,7750.0,1,0.0,7750.0,29714,11013,247.62,1101.3
2024-09-11 15:26:00,short,7711.05,1,0.0,7711.05,46957,18367,391.31,1836.7
2024-09-11 15:29:00,close,7718.0,1,-6.95,7718.0,0,0,0.0,0.0
2024-09-12 15:26:00,long,7786.15,1,0.0,7786.15,37060,12642,308.83,1264.2
2024-10-03 15:19:00,close,7572.2,1,-302.8,7572.2,0,0,0.0,0.0
2024-10-03 15:19:00,close,7572.2,1,-177.8,7572.2,0,0,0.0,0.0
2024-10-03 15:19:00,close,7572.2,1,-213.95,7572.2,0,0,0.0,0.0
2024-10-11 15:26:00,long,7681.6,1,0.0,7681.6,65152,33804,542.93,3380.4
2024-10-14 15:26:00,long,7568.0,1,0.0,7568.0,30779,10413,256.49,1041.3
2024-10-17 15:26:00,long,7364.75,1,0.0,7364.75,31782,12457,264.85,1245.7
2024-10-22 12:48:00,close,7206.57,1,-475.03,7206.57,0,0,0.0,0.0
2024-10-23 09:36:00,close,7097.16,1,-470.84,7097.16,0,0,0.0,0.0
2024-10-24 15:26:00,short,6952.95,1,0.0,6952.95,40099,13402,334.16,1340.2
2024-10-24 15:16:00,close,6961.05,1,-403.7,6961.05,0,0,0.0,0.0
2024-10-24 15:29:00,close,6969.0,1,-16.05,6969.0,0,0,0.0,0.0
2024-10-31 15:26:00,short,7000.2,1,0.0,7000.2,15787,9071,131.56,907.1
2024-10-31 15:29:00,close,7015.7,1,-15.5,7015.7,0,0,0.0,0.0
2024-11-07 15:26:00,short,7146.1,1,0.0,7146.1,20751,8063,172.92,806.3
2024-11-07 15:29:00,close,7145.0,1,1.1,7145.0,0,0,0.0,0.0
